protein,d_shape_len,rows,columns
3gbb,2.0,681.0,22.0
3gc5,2.0,622.0,22.0
3ge7,2.0,729.0,22.0
3gnw,,,
3gr2,2.0,447.0,22.0
3gv9,2.0,493.0,22.0
3gy4,2.0,444.0,22.0
3ivg,2.0,731.0,22.0
3jvr,,,
3jvs,2.0,386.0,22.0
3jya,,,
3k5v,,,
3kgp,2.0,458.0,22.0
3kr8,,,
3kwa,2.0,591.0,22.0
3l7b,,,
3lka,,,
3mss,2.0,411.0,22.0
3myg,2.0,562.0,22.0
3n76,2.0,683.0,22.0
3n7a,2.0,570.0,22.0
3n86,2.0,685.0,22.0
3nq9,2.0,464.0,22.0
3nw9,,,
3nx7,,,
3o9i,,,
3oe4,2.0,637.0,22.0
3oe5,2.0,648.0,22.0
3ozs,2.0,678.0,22.0
3ozt,2.0,635.0,22.0
3p5o,,,
3prs,,,
3pww,2.0,759.0,22.0
3pxf,2.0,636.0,22.0
3pyy,,,
3qgy,,,
3qqs,2.0,485.0,22.0
3r88,2.0,392.0,22.0
3rlr,,,
3rr4,2.0,601.0,22.0
3rsx,,,
3ryj,,,
3syr,,,
3tsk,2.0,560.0,22.0
3twp,2.0,328.0,22.0
3u5j,,,
3u8k,2.0,539.0,22.0
3u8n,2.0,600.0,22.0
3u9q,2.0,625.0,22.0
3udh,2.0,486.0,22.0
3ueu,2.0,674.0,22.0
3uev,2.0,663.0,22.0
3uew,2.0,710.0,22.0
3uex,2.0,754.0,22.0
3ui7,,,
3uo4,2.0,566.0,22.0
3up2,2.0,557.0,22.0
3uri,2.0,933.0,22.0
3utu,2.0,649.0,22.0
3uuo,2.0,638.0,22.0
3wtj,,,
3wz8,,,
3zdg,2.0,567.0,22.0
3zso,2.0,443.0,22.0
3zsx,2.0,411.0,22.0
3zt2,2.0,419.0,22.0
4abg,2.0,467.0,22.0
4agn,2.0,359.0,22.0
4agp,2.0,365.0,22.0
4agq,2.0,365.0,22.0
4bkt,,,
4cig,2.0,406.0,22.0
4ciw,,,
4cr9,2.0,442.0,22.0
4cra,,,
4crc,2.0,701.0,22.0
4ddh,2.0,514.0,22.0
4ddk,2.0,444.0,22.0
4de1,,,
4de2,2.0,544.0,22.0
4de3,2.0,548.0,22.0
4djv,2.0,684.0,22.0
4dld,2.0,668.0,22.0
4dli,2.0,422.0,22.0
4e5w,2.0,570.0,22.0
4e6q,,,
4ea2,2.0,749.0,22.0
4eky,,,
4eo8,2.0,538.0,22.0
4eor,,,
4f09,2.0,490.0,22.0
4f2w,2.0,631.0,22.0
4f3c,2.0,638.0,22.0
4f9w,,,
4gfm,,,
4gid,2.0,902.0,22.0
4gkm,2.0,493.0,22.0
4gr0,2.0,624.0,22.0
4hge,,,
4ih5,,,
4ih7,,,
4ivb,,,
4ivc,,,
4ivd,,,
4j21,,,
4j28,2.0,570.0,22.0
4j3l,,,
4jfs,2.0,558.0,22.0
4jia,2.0,543.0,22.0
4jsz,,,
4jxs,2.0,582.0,22.0
4k18,,,
4k77,,,
4kz6,2.0,510.0,22.0
4kzq,,,
4kzu,,,
4llx,,,
4lzs,,,
4m0y,,,
4m0z,,,
4mgd,,,
4mme,,,
4ogj,,,
4owm,,,
4pcs,,,
4qac,,,
4qd6,,,
4rfm,,,
4tmn,,,
4twp,,,
4ty7,,,
4u4s,,,
4w9c,,,
4w9h,,,
4w9i,,,
4w9l,,,
4wiv,,,
4x6p,,,
5a7b,,,
5aba,,,
5c28,,,
5c2h,,,
5dwr,,,
5tmn,,,
