circuit_index,rank,r2,step,gate,qubits,n_qubits_involved
31,4,0.8342,23,h,1,1
31,4,0.8342,24,h,3,1
31,4,0.8342,25,cx,"5,0",2
31,4,0.8342,26,h,0,1
31,4,0.8342,27,h,3,1
31,4,0.8342,28,h,5,1
31,4,0.8342,29,h,3,1
31,4,0.8342,30,h,1,1
31,4,0.8342,31,t,3,1
31,4,0.8342,32,t,0,1
31,4,0.8342,33,t,1,1
31,4,0.8342,34,t,2,1
31,4,0.8342,35,h,0,1
31,4,0.8342,36,h,0,1
31,4,0.8342,37,t,1,1
31,4,0.8342,38,t,0,1
31,4,0.8342,39,cx,"5,3",2
31,4,0.8342,40,t,4,1
31,4,0.8342,41,cx,"0,4",2
31,4,0.8342,42,t,4,1
31,4,0.8342,43,h,4,1
31,4,0.8342,44,h,0,1
31,4,0.8342,45,t,0,1
31,4,0.8342,46,h,4,1
31,4,0.8342,47,cx,"3,0",2
31,4,0.8342,48,t,1,1
31,4,0.8342,49,h,5,1
31,4,0.8342,50,t,4,1
31,4,0.8342,51,h,1,1
31,4,0.8342,52,t,4,1
31,4,0.8342,53,h,1,1
31,4,0.8342,54,h,1,1
31,4,0.8342,55,t,2,1
31,4,0.8342,56,h,0,1
31,4,0.8342,57,h,5,1
31,4,0.8342,58,cx,"2,0",2
31,4,0.8342,59,t,4,1
91,5,0.8379,0,cx,"4,2",2
91,5,0.8379,1,t,4,1
91,5,0.8379,2,t,2,1
91,5,0.8379,3,t,5,1
91,5,0.8379,4,cx,"3,2",2
91,5,0.8379,5,cx,"4,5",2
91,5,0.8379,6,t,3,1
91,5,0.8379,7,t,1,1
91,5,0.8379,8,h,4,1
91,5,0.8379,9,h,3,1
91,5,0.8379,10,cx,"0,3",2
91,5,0.8379,11,h,2,1
91,5,0.8379,12,h,2,1
91,5,0.8379,13,h,1,1
91,5,0.8379,14,cx,"5,1",2
91,5,0.8379,15,t,5,1
91,5,0.8379,16,cx,"3,4",2
91,5,0.8379,17,t,3,1
91,5,0.8379,18,h,2,1
91,5,0.8379,19,t,2,1
91,5,0.8379,20,cx,"1,3",2
91,5,0.8379,21,t,1,1
91,5,0.8379,22,t,5,1
91,5,0.8379,23,t,3,1
91,5,0.8379,24,h,1,1
91,5,0.8379,25,cx,"4,1",2
91,5,0.8379,26,t,3,1
91,5,0.8379,27,h,3,1
91,5,0.8379,28,h,5,1
91,5,0.8379,29,t,4,1
91,5,0.8379,30,cx,"3,2",2
91,5,0.8379,31,cx,"4,1",2
91,5,0.8379,32,h,3,1
91,5,0.8379,33,h,5,1
91,5,0.8379,34,cx,"1,2",2
91,5,0.8379,35,t,3,1
91,5,0.8379,36,t,1,1
91,5,0.8379,37,cx,"0,1",2
91,5,0.8379,38,t,0,1
91,5,0.8379,39,t,3,1
91,5,0.8379,40,h,1,1
91,5,0.8379,41,t,4,1
91,5,0.8379,42,cx,"5,4",2
91,5,0.8379,43,h,4,1
91,5,0.8379,44,h,2,1
91,5,0.8379,45,cx,"1,4",2
91,5,0.8379,46,cx,"0,4",2
91,5,0.8379,47,cx,"0,5",2
91,5,0.8379,48,t,0,1
91,5,0.8379,49,h,4,1
91,5,0.8379,50,h,4,1
91,5,0.8379,51,t,2,1
91,5,0.8379,52,h,2,1
91,5,0.8379,53,t,3,1
91,5,0.8379,54,h,0,1
91,5,0.8379,55,cx,"4,5",2
91,5,0.8379,56,t,2,1
91,5,0.8379,57,cx,"0,2",2
91,5,0.8379,58,h,0,1
91,5,0.8379,59,h,3,1
55,6,0.8483,0,h,4,1
55,6,0.8483,1,cx,"5,4",2
55,6,0.8483,2,cx,"1,2",2
55,6,0.8483,3,h,4,1
55,6,0.8483,4,h,0,1
55,6,0.8483,5,h,0,1
55,6,0.8483,6,t,2,1
55,6,0.8483,7,h,2,1
55,6,0.8483,8,t,3,1
55,6,0.8483,9,h,3,1
55,6,0.8483,10,t,1,1
55,6,0.8483,11,t,0,1
55,6,0.8483,12,h,2,1
55,6,0.8483,13,h,0,1
55,6,0.8483,14,h,0,1
55,6,0.8483,15,h,1,1
55,6,0.8483,16,h,0,1
55,6,0.8483,17,t,4,1
55,6,0.8483,18,t,2,1
55,6,0.8483,19,cx,"3,4",2
55,6,0.8483,20,h,2,1
55,6,0.8483,21,t,3,1
55,6,0.8483,22,h,0,1
55,6,0.8483,23,cx,"0,2",2
55,6,0.8483,24,cx,"5,0",2
55,6,0.8483,25,cx,"0,4",2
55,6,0.8483,26,h,2,1
55,6,0.8483,27,t,5,1
55,6,0.8483,28,cx,"4,1",2
55,6,0.8483,29,h,4,1
55,6,0.8483,30,t,2,1
55,6,0.8483,31,h,3,1
55,6,0.8483,32,t,3,1
55,6,0.8483,33,t,2,1
55,6,0.8483,34,t,4,1
55,6,0.8483,35,t,4,1
55,6,0.8483,36,cx,"2,1",2
55,6,0.8483,37,t,2,1
55,6,0.8483,38,h,3,1
55,6,0.8483,39,cx,"5,3",2
55,6,0.8483,40,h,0,1
55,6,0.8483,41,t,1,1
55,6,0.8483,42,h,0,1
55,6,0.8483,43,cx,"2,0",2
55,6,0.8483,44,t,1,1
55,6,0.8483,45,t,4,1
55,6,0.8483,46,t,1,1
55,6,0.8483,47,h,3,1
55,6,0.8483,48,cx,"3,5",2
55,6,0.8483,49,cx,"2,4",2
55,6,0.8483,50,h,1,1
55,6,0.8483,51,t,5,1
55,6,0.8483,52,cx,"3,1",2
55,6,0.8483,53,t,5,1
55,6,0.8483,54,cx,"4,2",2
55,6,0.8483,55,h,0,1
55,6,0.8483,56,t,1,1
55,6,0.8483,57,cx,"0,5",2
55,6,0.8483,58,t,4,1
55,6,0.8483,59,cx,"5,1",2
56,7,0.8523,0,h,2,1
56,7,0.8523,1,h,2,1
56,7,0.8523,2,cx,"1,4",2
56,7,0.8523,3,h,2,1
56,7,0.8523,4,cx,"3,4",2
56,7,0.8523,5,h,4,1
56,7,0.8523,6,cx,"2,0",2
56,7,0.8523,7,t,5,1
56,7,0.8523,8,cx,"3,4",2
56,7,0.8523,9,h,1,1
56,7,0.8523,10,t,3,1
56,7,0.8523,11,h,3,1
56,7,0.8523,12,cx,"5,2",2
56,7,0.8523,13,h,4,1
56,7,0.8523,14,h,0,1
56,7,0.8523,15,t,3,1
56,7,0.8523,16,cx,"1,4",2
56,7,0.8523,17,t,4,1
56,7,0.8523,18,t,5,1
56,7,0.8523,19,cx,"2,1",2
56,7,0.8523,20,h,2,1
56,7,0.8523,21,t,5,1
56,7,0.8523,22,cx,"5,1",2
56,7,0.8523,23,h,5,1
56,7,0.8523,24,t,1,1
56,7,0.8523,25,cx,"2,1",2
56,7,0.8523,26,cx,"2,5",2
56,7,0.8523,27,cx,"0,1",2
56,7,0.8523,28,h,5,1
56,7,0.8523,29,h,1,1
56,7,0.8523,30,t,0,1
56,7,0.8523,31,cx,"1,0",2
56,7,0.8523,32,cx,"4,3",2
56,7,0.8523,33,h,3,1
56,7,0.8523,34,t,1,1
56,7,0.8523,35,cx,"5,1",2
56,7,0.8523,36,t,2,1
56,7,0.8523,37,h,5,1
56,7,0.8523,38,t,3,1
56,7,0.8523,39,t,2,1
56,7,0.8523,40,t,4,1
56,7,0.8523,41,t,5,1
56,7,0.8523,42,t,5,1
56,7,0.8523,43,cx,"0,4",2
56,7,0.8523,44,h,4,1
56,7,0.8523,45,t,1,1
56,7,0.8523,46,t,0,1
56,7,0.8523,47,cx,"5,3",2
56,7,0.8523,48,h,4,1
56,7,0.8523,49,t,4,1
56,7,0.8523,50,t,0,1
56,7,0.8523,51,t,3,1
56,7,0.8523,52,t,5,1
56,7,0.8523,53,h,4,1
56,7,0.8523,54,h,1,1
56,7,0.8523,55,t,1,1
56,7,0.8523,56,t,4,1
56,7,0.8523,57,h,3,1
56,7,0.8523,58,t,4,1
56,7,0.8523,59,t,4,1
33,8,0.8273,0,t,2,1
33,8,0.8273,1,t,0,1
33,8,0.8273,2,cx,"5,4",2
33,8,0.8273,3,h,0,1
33,8,0.8273,4,h,5,1
33,8,0.8273,5,h,1,1
33,8,0.8273,6,t,5,1
33,8,0.8273,7,t,2,1
33,8,0.8273,8,t,4,1
33,8,0.8273,9,t,2,1
33,8,0.8273,10,cx,"0,5",2
33,8,0.8273,11,h,4,1
33,8,0.8273,12,t,5,1
33,8,0.8273,13,h,2,1
33,8,0.8273,14,h,1,1
33,8,0.8273,15,h,4,1
33,8,0.8273,16,cx,"4,5",2
33,8,0.8273,17,cx,"5,4",2
33,8,0.8273,18,h,4,1
33,8,0.8273,19,cx,"4,2",2
33,8,0.8273,20,h,5,1
33,8,0.8273,21,cx,"5,1",2
33,8,0.8273,22,t,5,1
33,8,0.8273,23,h,1,1
33,8,0.8273,24,t,4,1
33,8,0.8273,25,h,0,1
33,8,0.8273,26,t,1,1
33,8,0.8273,27,cx,"0,1",2
33,8,0.8273,28,cx,"4,5",2
33,8,0.8273,29,h,0,1
33,8,0.8273,30,h,2,1
33,8,0.8273,31,t,1,1
33,8,0.8273,32,t,1,1
33,8,0.8273,33,cx,"5,4",2
33,8,0.8273,34,h,1,1
33,8,0.8273,35,cx,"3,5",2
33,8,0.8273,36,t,3,1
33,8,0.8273,37,t,0,1
33,8,0.8273,38,h,1,1
33,8,0.8273,39,h,2,1
33,8,0.8273,40,h,3,1
33,8,0.8273,41,cx,"0,2",2
33,8,0.8273,42,t,1,1
33,8,0.8273,43,t,3,1
33,8,0.8273,44,t,3,1
33,8,0.8273,45,cx,"1,5",2
33,8,0.8273,46,h,3,1
33,8,0.8273,47,cx,"4,2",2
33,8,0.8273,48,cx,"1,5",2
33,8,0.8273,49,cx,"1,3",2
33,8,0.8273,50,h,0,1
33,8,0.8273,51,h,2,1
33,8,0.8273,52,cx,"4,1",2
33,8,0.8273,53,cx,"0,5",2
33,8,0.8273,54,cx,"2,4",2
33,8,0.8273,55,t,4,1
33,8,0.8273,56,cx,"1,3",2
33,8,0.8273,57,h,0,1
33,8,0.8273,58,h,1,1
33,8,0.8273,59,cx,"5,1",2
50,9,0.8387,0,t,2,1
50,9,0.8387,1,h,4,1
50,9,0.8387,2,cx,"0,2",2
50,9,0.8387,3,h,3,1
50,9,0.8387,4,cx,"1,4",2
50,9,0.8387,5,t,3,1
50,9,0.8387,6,cx,"0,2",2
50,9,0.8387,7,t,1,1
50,9,0.8387,8,t,4,1
50,9,0.8387,9,t,2,1
50,9,0.8387,10,cx,"2,4",2
50,9,0.8387,11,cx,"5,0",2
50,9,0.8387,12,h,4,1
50,9,0.8387,13,cx,"3,1",2
50,9,0.8387,14,t,4,1
50,9,0.8387,15,h,3,1
50,9,0.8387,16,t,2,1
50,9,0.8387,17,t,5,1
50,9,0.8387,18,h,2,1
50,9,0.8387,19,t,3,1
50,9,0.8387,20,cx,"1,0",2
50,9,0.8387,21,h,3,1
50,9,0.8387,22,t,0,1
50,9,0.8387,23,cx,"5,0",2
50,9,0.8387,24,h,5,1
50,9,0.8387,25,cx,"1,0",2
50,9,0.8387,26,cx,"1,0",2
50,9,0.8387,27,t,3,1
50,9,0.8387,28,cx,"4,0",2
50,9,0.8387,29,t,0,1
50,9,0.8387,30,t,4,1
50,9,0.8387,31,cx,"0,3",2
50,9,0.8387,32,cx,"5,3",2
50,9,0.8387,33,cx,"3,0",2
50,9,0.8387,34,h,5,1
50,9,0.8387,35,h,0,1
50,9,0.8387,36,h,2,1
50,9,0.8387,37,t,3,1
50,9,0.8387,38,t,5,1
50,9,0.8387,39,h,3,1
50,9,0.8387,40,h,4,1
50,9,0.8387,41,cx,"4,2",2
50,9,0.8387,42,cx,"0,2",2
50,9,0.8387,43,cx,"5,3",2
50,9,0.8387,44,h,5,1
50,9,0.8387,45,t,4,1
50,9,0.8387,46,cx,"1,3",2
50,9,0.8387,47,cx,"5,1",2
50,9,0.8387,48,t,2,1
50,9,0.8387,49,t,0,1
50,9,0.8387,50,h,2,1
50,9,0.8387,51,t,3,1
50,9,0.8387,52,t,5,1
50,9,0.8387,53,cx,"0,2",2
50,9,0.8387,54,t,1,1
50,9,0.8387,55,t,1,1
50,9,0.8387,56,h,5,1
50,9,0.8387,57,t,4,1
50,9,0.8387,58,h,3,1
50,9,0.8387,59,h,5,1
94,10,0.8453,0,cx,"2,4",2
94,10,0.8453,1,cx,"2,0",2
94,10,0.8453,2,cx,"3,5",2
94,10,0.8453,3,h,2,1
94,10,0.8453,4,t,5,1
94,10,0.8453,5,h,5,1
94,10,0.8453,6,t,0,1
94,10,0.8453,7,t,5,1
94,10,0.8453,8,cx,"3,5",2
94,10,0.8453,9,h,3,1
94,10,0.8453,10,t,4,1
94,10,0.8453,11,cx,"0,3",2
94,10,0.8453,12,t,5,1
94,10,0.8453,13,cx,"3,4",2
94,10,0.8453,14,t,1,1
94,10,0.8453,15,cx,"0,1",2
94,10,0.8453,16,t,5,1
94,10,0.8453,17,cx,"5,2",2
94,10,0.8453,18,cx,"4,0",2
94,10,0.8453,19,h,2,1
94,10,0.8453,20,h,2,1
94,10,0.8453,21,cx,"4,2",2
94,10,0.8453,22,cx,"2,4",2
94,10,0.8453,23,t,4,1
94,10,0.8453,24,t,0,1
94,10,0.8453,25,t,2,1
94,10,0.8453,26,h,0,1
94,10,0.8453,27,t,5,1
94,10,0.8453,28,cx,"1,5",2
94,10,0.8453,29,t,5,1
94,10,0.8453,30,t,4,1
94,10,0.8453,31,t,3,1
94,10,0.8453,32,t,3,1
94,10,0.8453,33,t,3,1
94,10,0.8453,34,cx,"0,3",2
94,10,0.8453,35,h,0,1
94,10,0.8453,36,t,1,1
94,10,0.8453,37,cx,"4,3",2
94,10,0.8453,38,t,0,1
94,10,0.8453,39,h,0,1
94,10,0.8453,40,h,3,1
94,10,0.8453,41,h,3,1
94,10,0.8453,42,h,1,1
94,10,0.8453,43,t,0,1
94,10,0.8453,44,cx,"1,0",2
94,10,0.8453,45,cx,"4,0",2
94,10,0.8453,46,cx,"0,3",2
94,10,0.8453,47,h,0,1
94,10,0.8453,48,h,0,1
94,10,0.8453,49,t,2,1
94,10,0.8453,50,h,0,1
94,10,0.8453,51,t,4,1
94,10,0.8453,52,cx,"1,5",2
94,10,0.8453,53,cx,"3,4",2
94,10,0.8453,54,t,0,1
94,10,0.8453,55,h,5,1
94,10,0.8453,56,h,2,1
94,10,0.8453,57,t,5,1
94,10,0.8453,58,t,3,1
94,10,0.8453,59,h,2,1
5,11,0.8653,0,cx,"0,3",2
5,11,0.8653,1,cx,"1,2",2
5,11,0.8653,2,cx,"5,0",2
5,11,0.8653,3,t,5,1
5,11,0.8653,4,cx,"4,2",2
5,11,0.8653,5,t,4,1
5,11,0.8653,6,h,4,1
5,11,0.8653,7,h,4,1
5,11,0.8653,8,cx,"5,3",2
5,11,0.8653,9,cx,"1,5",2
5,11,0.8653,10,h,5,1
5,11,0.8653,11,cx,"1,4",2
5,11,0.8653,12,h,1,1
5,11,0.8653,13,t,2,1
5,11,0.8653,14,t,0,1
5,11,0.8653,15,cx,"3,0",2
5,11,0.8653,16,h,0,1
5,11,0.8653,17,h,5,1
5,11,0.8653,18,t,4,1
5,11,0.8653,19,cx,"0,4",2
5,11,0.8653,20,h,1,1
5,11,0.8653,21,cx,"2,4",2
5,11,0.8653,22,t,0,1
5,11,0.8653,23,t,2,1
5,11,0.8653,24,t,1,1
5,11,0.8653,25,h,4,1
5,11,0.8653,26,cx,"1,0",2
5,11,0.8653,27,h,4,1
5,11,0.8653,28,cx,"3,5",2
5,11,0.8653,29,h,3,1
5,11,0.8653,30,h,2,1
5,11,0.8653,31,t,1,1
5,11,0.8653,32,cx,"1,3",2
5,11,0.8653,33,cx,"5,2",2
5,11,0.8653,34,t,3,1
5,11,0.8653,35,t,1,1
5,11,0.8653,36,h,0,1
5,11,0.8653,37,h,5,1
5,11,0.8653,38,t,3,1
5,11,0.8653,39,cx,"5,4",2
5,11,0.8653,40,cx,"3,5",2
5,11,0.8653,41,cx,"4,2",2
5,11,0.8653,42,h,1,1
5,11,0.8653,43,h,3,1
5,11,0.8653,44,t,1,1
5,11,0.8653,45,h,4,1
5,11,0.8653,46,h,0,1
5,11,0.8653,47,t,4,1
5,11,0.8653,48,cx,"1,5",2
5,11,0.8653,49,t,3,1
5,11,0.8653,50,t,2,1
5,11,0.8653,51,h,5,1
5,11,0.8653,52,h,4,1
5,11,0.8653,53,cx,"5,2",2
5,11,0.8653,54,cx,"3,2",2
5,11,0.8653,55,cx,"5,1",2
5,11,0.8653,56,t,5,1
5,11,0.8653,57,cx,"4,2",2
5,11,0.8653,58,cx,"3,0",2
5,11,0.8653,59,cx,"0,4",2
15,12,0.8573,0,h,5,1
15,12,0.8573,1,t,3,1
15,12,0.8573,2,h,2,1
15,12,0.8573,3,cx,"4,3",2
15,12,0.8573,4,t,1,1
15,12,0.8573,5,cx,"0,3",2
15,12,0.8573,6,cx,"4,3",2
15,12,0.8573,7,cx,"1,0",2
15,12,0.8573,8,cx,"1,0",2
15,12,0.8573,9,cx,"3,0",2
15,12,0.8573,10,t,4,1
15,12,0.8573,11,cx,"5,4",2
15,12,0.8573,12,cx,"0,1",2
15,12,0.8573,13,t,0,1
15,12,0.8573,14,cx,"2,0",2
15,12,0.8573,15,cx,"5,3",2
15,12,0.8573,16,t,0,1
15,12,0.8573,17,t,5,1
15,12,0.8573,18,t,0,1
15,12,0.8573,19,cx,"5,1",2
15,12,0.8573,20,cx,"2,3",2
15,12,0.8573,21,h,1,1
15,12,0.8573,22,t,0,1
15,12,0.8573,23,t,1,1
15,12,0.8573,24,t,4,1
15,12,0.8573,25,cx,"0,5",2
15,12,0.8573,26,cx,"0,2",2
15,12,0.8573,27,t,4,1
15,12,0.8573,28,t,5,1
15,12,0.8573,29,t,4,1
15,12,0.8573,30,h,2,1
15,12,0.8573,31,t,5,1
15,12,0.8573,32,cx,"1,3",2
15,12,0.8573,33,cx,"5,3",2
15,12,0.8573,34,h,4,1
15,12,0.8573,35,cx,"1,5",2
15,12,0.8573,36,h,0,1
15,12,0.8573,37,cx,"4,5",2
15,12,0.8573,38,h,5,1
15,12,0.8573,39,cx,"5,3",2
15,12,0.8573,40,h,5,1
15,12,0.8573,41,cx,"0,3",2
15,12,0.8573,42,h,5,1
15,12,0.8573,43,h,1,1
15,12,0.8573,44,cx,"5,2",2
15,12,0.8573,45,h,0,1
15,12,0.8573,46,cx,"3,2",2
15,12,0.8573,47,h,3,1
15,12,0.8573,48,t,1,1
15,12,0.8573,49,t,4,1
15,12,0.8573,50,t,3,1
15,12,0.8573,51,cx,"0,3",2
15,12,0.8573,52,cx,"2,4",2
15,12,0.8573,53,t,0,1
15,12,0.8573,54,h,0,1
15,12,0.8573,55,h,0,1
15,12,0.8573,56,t,3,1
15,12,0.8573,57,h,2,1
15,12,0.8573,58,h,4,1
15,12,0.8573,59,t,4,1
70,13,0.859,0,h,0,1
70,13,0.859,1,cx,"0,2",2
70,13,0.859,2,cx,"5,0",2
70,13,0.859,3,t,5,1
70,13,0.859,4,t,0,1
70,13,0.859,5,cx,"5,1",2
70,13,0.859,6,h,0,1
70,13,0.859,7,t,2,1
70,13,0.859,8,t,0,1
70,13,0.859,9,cx,"1,5",2
70,13,0.859,10,h,2,1
70,13,0.859,11,h,0,1
70,13,0.859,12,h,3,1
70,13,0.859,13,t,5,1
70,13,0.859,14,t,3,1
70,13,0.859,15,h,0,1
70,13,0.859,16,cx,"5,3",2
70,13,0.859,17,t,1,1
70,13,0.859,18,t,0,1
70,13,0.859,19,cx,"5,0",2
70,13,0.859,20,h,2,1
70,13,0.859,21,t,0,1
70,13,0.859,22,cx,"0,5",2
70,13,0.859,23,t,4,1
70,13,0.859,24,cx,"4,1",2
70,13,0.859,25,h,1,1
70,13,0.859,26,cx,"1,4",2
70,13,0.859,27,cx,"3,5",2
70,13,0.859,28,cx,"0,4",2
70,13,0.859,29,t,5,1
70,13,0.859,30,cx,"2,4",2
70,13,0.859,31,h,3,1
70,13,0.859,32,h,3,1
70,13,0.859,33,cx,"3,1",2
70,13,0.859,34,t,4,1
70,13,0.859,35,h,1,1
70,13,0.859,36,h,1,1
70,13,0.859,37,cx,"1,2",2
70,13,0.859,38,t,2,1
70,13,0.859,39,cx,"5,2",2
70,13,0.859,40,t,2,1
70,13,0.859,41,cx,"5,3",2
70,13,0.859,42,t,5,1
70,13,0.859,43,h,3,1
70,13,0.859,44,h,2,1
70,13,0.859,45,cx,"2,4",2
70,13,0.859,46,h,4,1
70,13,0.859,47,h,1,1
70,13,0.859,48,t,0,1
