protein,d_shape_len,rows,columns
3dx1,2,338,22
3dx2,2,387,22
3dxg,2,318,22
3e5a,2,474,22
3e92,2,499,22
3e93,2,600,22
3ebp,2,310,22
3ehy,2,373,22
3ejr,2,458,22
3f3a,2,427,22
3f3c,2,406,22
3f3d,2,369,22
3f3e,2,361,22
3fcq,2,336,22
3fur,2,507,22
3fv1,2,514,22
3fv2,2,496,22
3g0w,2,537,22
3g2n,2,538,22
3g2z,2,309,22
3g31,2,189,22
3gbb,2,503,22
3gc5,2,425,22
3ge7,2,470,22
3gnw,2,660,22
3gr2,2,259,22
3gv9,2,285,22
3gy4,2,321,22
3ivg,2,502,22
3jvr,2,278,22
3jvs,2,312,22
3jya,2,358,22
3k5v,2,419,22
3kgp,2,337,22
3kr8,2,451,22
3kwa,2,382,22
3l7b,2,516,22
3lka,2,341,22
3mss,2,343,22
3myg,2,405,22
3n76,2,545,22
3n7a,2,381,22
3n86,2,539,22
3nq9,2,321,22
3nw9,2,542,22
3nx7,2,410,22
3o9i,2,551,22
3oe4,2,487,22
3oe5,2,487,22
3ozs,2,511,22
3ozt,2,483,22
3p5o,2,396,22
3prs,2,557,22
3pww,2,581,22
3pxf,2,288,22
3pyy,2,383,22
3qgy,2,386,22
3qqs,2,337,22
3r88,2,276,22
3rlr,2,503,22
3rr4,2,414,22
3rsx,2,378,22
3ryj,2,471,22
3syr,2,553,22
3tsk,2,475,22
3twp,2,242,22
3u5j,2,349,22
3u8k,2,413,22
3u8n,2,444,22
3u9q,2,438,22
3udh,2,359,22
3ueu,2,436,22
3uev,2,432,22
3uew,2,456,22
3uex,2,509,22
3ui7,2,419,22
3uo4,2,416,22
3up2,2,402,22
3uri,2,619,22
3utu,2,545,22
3uuo,2,372,22
3wtj,2,395,22
3wz8,2,431,22
3zdg,2,407,22
3zso,2,347,22
3zsx,2,331,22
3zt2,2,323,22
4abg,2,295,22
4agn,2,303,22
4agp,2,288,22
4agq,2,302,22
4bkt,2,295,22
4cig,2,334,22
4ciw,2,429,22
4cr9,2,306,22
4cra,2,513,22
4crc,2,530,22
4ddh,2,348,22
4ddk,2,339,22
4de1,2,420,22
4de2,2,425,22
4de3,2,422,22
4djv,2,490,22
4dld,2,530,22
4dli,2,371,22
4e5w,2,496,22
4e6q,2,477,22
4ea2,2,509,22
4eky,2,614,22
4eo8,2,467,22
4eor,2,475,22
4f09,2,396,22
4f2w,2,442,22
4f3c,2,465,22
4f9w,2,461,22
4gfm,2,428,22
4gid,2,684,22
4gkm,2,300,22
4gr0,2,533,22
4hge,2,461,22
4ih5,2,439,22
4ih7,2,459,22
4ivb,2,452,22
4ivc,2,464,22
4ivd,2,463,22
4j21,2,414,22
4j28,2,348,22
4j3l,2,420,22
4jfs,2,372,22
4jia,2,432,22
4jsz,2,209,22
4jxs,2,363,22
4k18,2,484,22
4k77,2,409,22
4kz6,2,322,22
4kzq,2,414,22
4kzu,2,405,22
4llx,2,225,22
4lzs,2,320,22
4m0y,2,335,22
4m0z,2,448,22
4mgd,2,426,22
4mme,2,449,22
4ogj,2,349,22
4owm,2,217,22
4pcs,2,337,22
4qac,2,509,22
4qd6,2,322,22
4rfm,2,446,22
4tmn,2,579,22
4twp,2,447,22
4ty7,2,518,22
4u4s,2,373,22
4w9c,2,349,22
4w9h,2,378,22
4w9i,2,364,22
4w9l,2,373,22
4wiv,2,356,22
4x6p,2,570,22
5a7b,2,305,22
5aba,2,256,22
5c28,2,308,22
5c2h,2,523,22
5dwr,2,464,22
5tmn,2,525,22
