protein,resolution,Ki,Kd,ΔG_kcal_per_mol
3k5v,1.74,0,Kd=0.5uM,-8.59
3lka,1.80,0,Kd=1.5mM,-3.85
3mss,1.95,0,Kd=22uM,-6.35
2xbv,1.66,0,Kd=3.7nM,-11.50
2x00,2.40,0,Kd=4.7pM,-15.44
3p5o,1.60,0,Kd=55.2nM,-9.90
2xii,1.80,0,Kd=63.3nM,-9.81
3nx7,1.80,0,Kd=7.88nM,-11.05
2wvt,1.80,0,Kd=755nM,-8.35
2xdl,1.98,0,Kd=790uM,-4.23
3gy4,1.55,0,Kd=8uM,-6.95
3nq9,1.90,0,Kd=92.6uM,-5.50
3fv1,1.50,Ki=0.5nM,0,-12.68
2wtv,2.40,Ki=1.8nM,0,-11.92
2xnb,1.85,Ki=149nM,0,-9.31
3acw,1.63,Ki=17.5uM,0,-6.49
2xj7,2.00,Ki=220nM,0,-9.08
2xb8,2.40,Ki=26nM,0,-10.34
3l7b,2.00,Ki=4.01mM,0,-3.27
3fv2,1.50,Ki=7.7nM,0,-11.06
3g2n,2.10,Ki=81uM,0,-5.58
3kwa,2.00,Ki=84uM,0,-5.56
3ag9,2.00,Ki=9nM,0,-10.97
3arp,1.55,0,Kd=0.07uM,-9.76
3uex,2.10,0,Kd=0.12uM,-9.44
2yki,1.67,0,Kd=0.35nM,-12.89
3uew,2.00,0,Kd=0.49uM,-8.60
3arq,1.50,0,Kd=0.4uM,-8.72
3ary,1.35,0,Kd=1.0uM,-8.18
3uev,1.90,0,Kd=1.29uM,-8.03
3pyy,1.85,0,Kd=137nM,-9.36
3ryj,1.39,0,Kd=16nM,-10.63
3arv,1.50,0,Kd=2.3uM,-7.69
3u5j,1.60,0,Kd=2.46uM,-7.65
3pxf,1.80,0,Kd=37uM,-6.04
3rsx,2.48,0,Kd=38.8uM,-6.01
3ueu,2.10,0,Kd=5.81uM,-7.14
3b27,1.50,0,Kd=6.9uM,-7.04
3aru,1.90,0,Kd=600uM,-4.39
3ao4,1.95,0,Kd=8.5mM,-2.82
2yge,1.96,0,Kd=8.62uM,-6.91
3u8n,2.35,Ki=0.067nM,0,-13.87
3n76,1.90,Ki=0.14uM,0,-9.34
3o9i,1.45,Ki=1.5pM,0,-16.12
3oe5,1.52,Ki=132nM,0,-9.38
3prs,1.38,Ki=15nM,0,-10.67
2y5h,1.33,Ki=1620nM,0,-7.89
3qgy,2.10,Ki=16nM,0,-10.63
3nw9,1.65,Ki=1nM,0,-12.27
3ui7,2.28,Ki=1nM,0,-12.27
3u8k,2.47,Ki=2.2nM,0,-11.80
3n86,1.90,Ki=2.3uM,0,-7.69
3n7a,2.00,Ki=200uM,0,-5.04
3b1m,1.60,Ki=3.3nM,0,-11.56
3rlr,1.70,Ki=30nM,0,-10.26
3oe4,1.49,Ki=34nM,0,-10.18
2xys,1.91,Ki=38nM,0,-10.12
3u9q,1.52,Ki=41.7uM,0,-5.97
3ozs,1.44,Ki=4645nM,0,-7.27
3pww,1.22,Ki=48nM,0,-9.98
3ozt,1.48,Ki=74.9uM,0,-5.62
3udh,1.70,0,Kd=1.4mM,-3.89
4agn,1.60,0,Kd=107uM,-5.41
3zt2,1.70,0,Kd=1435uM,-3.88
4agp,1.50,0,Kd=20.6uM,-6.39
4abg,1.52,0,Kd=271uM,-4.86
3uo4,2.45,0,Kd=299nM,-8.90
3up2,2.30,0,Kd=40nM,-10.09
3zsx,1.95,0,Kd=519uM,-4.48
3tsk,2.00,0,Kd=67nM,-9.78
2ymd,1.96,0,Kd=693uM,-4.31
3zso,1.75,0,Kd=7.6uM,-6.98
4eo8,1.80,0,Kd=7nM,-11.12
4agq,1.42,0,Kd=9.7uM,-6.84
3utu,1.55,Ki=0.012nM,0,-14.89
4gid,2.00,Ki=0.017nM,0,-14.68
4djv,1.73,Ki=0.19uM,0,-9.16
2yfe,2.00,Ki=0.236uM,0,-9.04
4ea2,2.05,Ki=0.36uM,0,-8.79
4de1,1.26,Ki=1.1uM,0,-8.12
3qqs,1.97,Ki=1.5uM,0,-7.94
4dld,2.00,Ki=1.5uM,0,-7.94
4hge,2.30,Ki=11.9nM,0,-10.80
3twp,1.83,Ki=119uM,0,-5.35
3uuo,2.11,Ki=11nM,0,-10.85
3r88,1.73,Ki=15uM,0,-6.58
3uri,2.10,Ki=1nM,0,-12.27
4f09,2.40,Ki=200nM,0,-9.13
4e5w,1.86,Ki=22nM,0,-10.44
3rr4,1.68,Ki=28.05uM,0,-6.21
4de3,1.44,Ki=3.0uM,0,-7.53
4eky,2.45,Ki=303.0uM,0,-4.80
4e6q,1.95,Ki=4.4nM,0,-11.39
3syr,2.40,Ki=7.9uM,0,-6.96
4de2,1.40,Ki=76.0uM,0,-5.62
4ddh,2.07,0,Kd=0.5mM,-4.50
4j3l,2.09,0,Kd=16nM,-10.63
4dli,1.91,0,Kd=2.40uM,-7.66
4bkt,2.35,0,Kd=240uM,-4.94
4mme,2.50,0,Kd=318nM,-8.86
4j21,1.93,0,Kd=39nM,-10.10
4ddk,1.75,0,Kd=5.1mM,-3.13
4ih7,2.30,0,Kd=5.8uM,-7.14
4kzq,2.25,0,Kd=788nM,-8.32
4ih5,1.90,0,Kd=78uM,-5.60
4gfm,2.30,Ki=0.06uM,0,-9.85
4ivc,2.35,Ki=0.1nM,0,-13.63
4gr0,1.50,Ki=0.28nM,0,-13.02
4ivd,1.93,Ki=0.3nM,0,-12.98
4jia,1.85,Ki=0.6nM,0,-12.57
4k18,2.05,Ki=1.1nM,0,-12.21
4f3c,1.93,Ki=1.5pM,0,-16.12
4ivb,1.90,Ki=1.9nM,0,-11.89
4f9w,2.00,Ki=114nM,0,-9.47
4j28,1.73,Ki=2.0uM,0,-7.77
4k77,2.40,Ki=235nM,0,-9.04
4kzu,2.10,Ki=313nM,0,-8.87
4f2w,2.00,Ki=5.0pM,0,-15.41
4jfs,2.00,Ki=5.4uM,0,-7.18
4jsz,1.90,Ki=5000uM,0,-3.14
4eor,2.20,Ki=500nM,0,-8.59
4gkm,1.67,Ki=6.8uM,0,-7.05
3zdg,2.48,Ki=79nM,0,-9.68
4w9h,2.10,0,Kd=0.185uM,-9.18
4m0y,1.70,0,Kd=0.35uM,-8.80
4qac,2.10,0,Kd=0.4nM,-12.81
4w9i,2.40,0,Kd=1.10uM,-8.12
4u4s,1.90,0,Kd=1200uM,-3.98
4ogj,1.65,0,Kd=164nM,-9.25
4lzs,2.20,0,Kd=16uM,-6.54
4mgd,1.90,0,Kd=20.19uM,-6.40
4cig,1.70,0,Kd=214uM,-5.00
4w9c,2.20,0,Kd=22.2uM,-6.34
4wiv,1.56,0,Kd=550nM,-8.53
4m0z,2.00,0,Kd=6.4uM,-7.08
4w9l,2.20,0,Kd=9.52uM,-6.85
4ty7,2.09,Ki=0.3nM,0,-12.98
4kz6,1.68,Ki=0.8mM,0,-4.22
4owm,1.99,Ki=1090uM,0,-4.04
4llx,1.75,Ki=1300uM,0,-3.93
4pcs,1.77,Ki=14nM,0,-10.71
4ciw,2.20,Ki=15.0uM,0,-6.58
4jxs,1.90,Ki=18uM,0,-6.47
3wtj,2.24,0,Kd=0.297uM,-8.90
5aba,1.62,0,Kd=1040uM,-4.07
5a7b,1.40,0,Kd=271uM,-4.86
4crc,1.60,Ki=0.0019uM,0,-11.89
4cra,1.80,Ki=0.06uM,0,-9.85
3wz8,1.45,Ki=1.5uM,0,-7.94
4twp,2.40,Ki=100pM,0,-13.63
5c28,1.56,Ki=2.2uM,0,-7.71
4qd6,2.45,Ki=2.3nM,0,-11.78
4x6p,1.93,Ki=5nM,0,-11.32
5dwr,2.00,Ki=6pM,0,-15.30
5c2h,2.09,Ki=8.2pM,0,-15.12
4cr9,1.70,Ki=80uM,0,-5.59
4rfm,2.10,Ki=90pM,0,-13.70
