name,fc0,fc1,fc2,fc3,fc4,fc5,fc6,fc7,fc8,fc9,fc10,fc11,fc12,fc13,fc14,fc15,affinity
1b38,396.67368,-62.518105,249.75288,-159.35875,287.08398,388.12634,-238.20078,387.01068,-272.4359,231.6502,0.0,0.0,0.0,4.4437585,0.0,0.0,6.6
1b3f,294.55118,-70.40058,335.72937,-162.03056,413.70557,513.9612,-305.8222,515.33234,-312.1657,307.3634,0.0,0.0,0.0,4.7554445,0.0,0.0,6.89
1b3g,317.05762,-61.370926,297.68356,-150.40054,363.99966,479.4952,-264.2563,451.8409,-290.18448,275.73483,0.0,0.0,0.0,4.96624,0.0,0.0,6.7
1b3l,425.12753,-62.770172,257.01712,-151.99164,264.93365,420.60995,-224.49542,359.42673,-262.60596,246.15967,0.0,0.0,0.0,4.1484885,0.0,0.0,5.89
1b46,432.58072,-75.54801,344.1574,-152.62126,341.4592,467.62558,-254.11377,439.3264,-293.7362,291.34238,0.0,0.0,0.0,4.974488,0.0,0.0,5.28
1b4h,433.44565,-69.98237,318.8278,-151.03769,321.69635,441.8093,-250.13324,420.8435,-289.66125,271.42786,0.0,0.0,0.0,4.6106853,0.0,0.0,5.46
1b4z,470.063,-71.37886,321.77646,-153.89017,306.6274,432.2263,-241.56252,414.02234,-290.96466,275.7401,0.0,0.0,0.0,4.4886193,0.0,0.0,5.23
1b51,330.5773,-58.399357,238.56818,-150.72472,305.7759,418.2344,-246.44649,405.14294,-273.13318,245.8634,0.0,0.0,0.0,4.472951,0.0,0.0,7.37
1b57,328.74396,-47.79244,157.47563,-136.93382,216.18193,307.49686,-207.30682,320.6452,-245.21278,166.33041,0.0,0.0,0.0,4.0968003,0.0,0.0,8.0
1b58,330.28876,-59.06339,366.05685,-160.26779,433.79922,511.25586,-312.29733,542.7979,-318.18845,321.9782,0.0,0.0,0.0,4.9979405,0.0,0.0,6.59
1b5h,400.93494,-65.34751,292.83505,-149.07402,313.99554,432.26434,-249.13077,413.57092,-283.3255,259.3939,0.0,0.0,0.0,4.413101,0.0,0.0,6.01
1b5i,322.8505,-69.22582,278.1841,-157.35051,333.68744,463.8477,-272.29523,437.04727,-293.60437,276.96075,0.0,0.0,0.0,4.4998436,0.0,0.0,7.05
1b5j,300.0813,-54.822872,270.05005,-150.0031,349.70508,445.33887,-262.7187,452.53235,-284.52258,261.5265,0.0,0.0,0.0,4.6342278,0.0,0.0,7.43
1b6j,205.53555,-63.93168,294.07642,-154.40681,379.65515,568.62024,-290.29105,489.9143,-284.56396,322.7543,0.0,0.0,0.0,6.8688836,0.0,0.0,7.92
1b6k,177.1934,-64.01036,242.52829,-157.21889,382.02545,533.8568,-281.9663,476.22238,-275.4679,307.06027,0.0,0.0,0.0,7.221807,0.0,0.0,8.74
1b6l,212.36131,-61.555904,254.96027,-155.95276,361.51575,519.1453,-277.5122,460.2033,-272.95316,304.01547,0.0,0.0,0.0,6.780796,0.0,0.0,8.3
1b7h,251.40247,-60.910946,206.67238,-153.29388,352.11383,450.23184,-249.5087,428.97086,-264.9709,242.43509,0.0,0.0,0.0,4.9497204,0.0,0.0,8.02
1b8n,173.21895,-66.33725,58.688892,-133.931,185.04425,355.59113,-215.32077,330.45728,-238.53293,162.59068,0.0,0.0,0.0,7.0114975,0.0,0.0,10.52
1b8o,169.99092,-71.23589,18.936068,-136.18909,127.677345,318.7157,-186.6659,275.14008,-222.37596,143.17079,0.0,0.0,0.0,7.107647,0.0,0.0,10.64
1b8y,234.28119,-58.279324,236.03282,-162.64905,354.22092,441.94107,-272.29236,415.3756,-266.18903,234.16278,0.0,0.0,0.0,5.6268444,0.0,0.0,7.85
1b9j,356.33414,-67.40707,341.6839,-151.9559,381.36212,497.73782,-273.15356,468.17313,-305.53348,294.9914,0.0,0.0,0.0,4.7843647,0.0,0.0,5.96
1bai,258.2569,-62.88898,262.0536,-152.08179,337.04657,446.12646,-254.96169,428.07202,-259.8724,251.3425,0.0,0.0,0.0,5.4785166,0.0,0.0,7.7
1bcd,168.20232,-53.46575,201.72078,-140.85675,314.74536,448.6458,-248.4268,383.5773,-273.93726,238.83919,0.0,0.0,0.0,5.3012257,0.0,0.0,8.7
1bdq,296.6223,-69.01514,318.56888,-171.7636,435.4734,485.07346,-264.04968,470.3862,-273.04758,260.48352,0.0,0.0,0.0,7.127303,0.0,0.0,6.34
1bgq,267.5501,-63.721786,119.61369,-142.68013,213.2147,339.4657,-200.89462,293.6056,-233.88191,166.65524,0.0,0.0,0.0,5.551791,0.0,0.0,8.57
1bhf,631.1815,-69.25663,261.72836,-170.05315,138.44049,225.46198,-181.1377,256.3312,-234.58345,179.82545,0.0,0.0,0.0,4.6073427,0.0,0.0,4.38
1bhx,372.55765,-53.640705,240.89551,-157.34377,321.4733,378.0824,-249.85617,391.74017,-265.0501,230.92644,0.0,0.0,0.0,6.0458326,0.0,0.0,6.84
1bjv,491.2399,-66.39032,278.43433,-155.32948,286.5165,372.55777,-235.89684,397.3441,-274.42807,225.90598,0.0,0.0,0.0,4.550541,0.0,0.0,5.54
1bm7,361.19608,-60.799854,115.27905,-141.11777,156.43948,308.44882,-171.59322,248.89272,-207.83546,134.73929,0.0,0.0,0.0,4.251951,0.0,0.0,7.52
1bma,519.65125,-67.76241,363.52548,-154.79987,283.2705,433.1984,-232.50824,399.80118,-269.7634,291.41937,0.0,0.0,0.0,5.6497703,0.0,0.0,4.59
1bn1,68.83295,-72.21791,195.4052,-155.51059,380.79504,585.41705,-284.48782,464.83228,-290.2236,273.19766,0.0,0.0,0.0,7.227253,0.0,0.0,9.34
1bn3,10.052693,-74.17997,210.63017,-166.32802,440.92847,632.88043,-318.51575,525.15247,-302.93713,298.13907,0.0,0.0,0.0,7.075954,0.0,0.0,9.89
1bn4,72.100204,-71.2648,199.09207,-155.91022,383.968,586.3966,-283.2021,464.722,-289.83667,276.9276,0.0,0.0,0.0,7.2829413,0.0,0.0,9.31
1bnn,8.975009,-75.33796,195.38043,-164.94449,427.01437,619.6759,-305.45276,503.7716,-296.56064,287.18256,0.0,0.0,0.0,7.088503,0.0,0.0,10.0
1bnt,38.849895,-73.588295,193.76024,-158.47461,398.379,606.39264,-296.10825,484.1869,-297.91888,284.4932,0.0,0.0,0.0,7.0139,0.0,0.0,9.8
1bnu,72.170525,-69.45086,191.96632,-155.72426,383.42606,580.90326,-296.14386,467.86725,-284.7661,285.66495,0.0,0.0,0.0,6.7151084,0.0,0.0,9.7
1bnv,131.20685,-69.42199,215.84718,-153.56708,371.317,574.2128,-288.7517,447.72308,-280.9564,284.91425,0.0,0.0,0.0,6.9851274,0.0,0.0,8.77
1bnw,118.8617,-69.03119,192.25206,-149.61954,348.3116,554.1499,-276.21597,426.41846,-275.22406,268.77737,0.0,0.0,0.0,6.8978086,0.0,0.0,9.08
1bp0,504.92496,-74.12127,295.3897,-172.34044,255.1194,394.49036,-238.63318,393.4806,-260.97858,257.9905,0.0,0.0,0.0,3.6983378,0.0,0.0,5.4
1bq4,630.89545,-72.501,188.40952,-167.0126,72.287926,183.2537,-191.3894,233.7205,-222.54538,149.43068,0.0,0.0,0.0,3.4913192,0.0,0.0,5.22
1br6,634.8636,-82.72289,369.59747,-170.35262,268.44513,355.96588,-209.00531,365.42578,-281.0448,259.3774,0.0,0.0,0.0,4.262933,0.0,0.0,3.22
1bty,733.7997,-72.40898,171.57884,-174.38583,14.750605,82.48614,-182.88168,183.59477,-214.1361,96.45666,0.0,0.0,0.0,2.9890661,0.0,0.0,4.74
1bv7,66.022385,-64.64694,152.13402,-160.53642,488.09085,524.2981,-295.21222,520.4498,-260.1812,255.854,0.0,0.0,0.0,7.519596,0.0,0.0,10.3
1bv9,94.201775,-66.93028,165.62482,-160.94595,489.56946,532.3086,-292.5027,523.3163,-262.98944,273.05313,0.0,0.0,0.0,7.649992,0.0,0.0,9.96
1bwb,95.6251,-69.56923,334.31537,-189.08302,646.6798,657.3857,-367.89618,673.23285,-305.09387,341.37216,0.0,0.0,0.0,7.6119986,0.0,0.0,8.42
1bxo,143.8087,-72.178986,119.5677,-146.93121,313.68866,454.3386,-241.17482,429.41367,-255.53343,196.2663,0.0,0.0,0.0,6.1257467,0.0,0.0,10.0
1bxq,275.2951,-56.61217,247.47302,-141.76976,343.28146,470.95602,-254.42792,452.85532,-269.95288,224.79637,0.0,0.0,0.0,5.525014,0.0,0.0,7.38
1bxr,632.528,-116.035866,505.651,-199.42212,458.73346,571.9388,-335.23218,636.4882,-340.64026,454.8424,0.0,0.0,0.0,4.6597657,0.0,0.0,3.4
1bzj,567.7565,-59.739094,259.1924,-146.76598,175.82999,316.63885,-182.69722,276.876,-237.49333,211.63495,0.0,0.0,0.0,4.4490204,0.0,0.0,4.66
1bzy,218.54422,-70.97134,188.02548,-152.41273,343.17606,456.18326,-254.86024,415.4372,-264.87683,223.21436,0.0,0.0,0.0,6.480477,0.0,0.0,8.34
1c1u,292.0671,-59.532307,150.96846,-145.78409,206.26917,339.05414,-203.624,298.40207,-238.01462,175.75035,0.0,0.0,0.0,4.7224264,0.0,0.0,8.25
1c4u,127.93003,-50.92838,139.21423,-154.2333,342.50833,397.51007,-273.48535,414.5672,-255.89352,223.95335,0.0,0.0,0.0,6.135708,0.0,0.0,10.37
1c5c,352.30884,-58.203835,205.44969,-145.50673,258.23993,397.1036,-223.39581,337.31796,-260.92282,225.92758,0.0,0.0,0.0,4.336774,0.0,0.0,6.96
1c5n,656.2415,-71.58108,205.77818,-172.52147,117.876305,240.663,-199.39325,272.8739,-240.60242,158.491,0.0,0.0,0.0,3.343185,0.0,0.0,4.7
1c5o,789.93585,-77.587715,237.26465,-190.29993,33.373955,150.47821,-196.18285,217.48392,-225.23746,137.1243,0.0,0.0,0.0,2.8685782,0.0,0.0,3.49
1c5p,736.10724,-71.668144,184.47421,-174.42708,12.024752,92.61474,-190.77513,186.7155,-218.47914,115.02931,0.0,0.0,0.0,2.9688563,0.0,0.0,4.68
1c5q,540.82684,-64.64931,132.6909,-157.25842,71.40008,202.91202,-185.6178,205.70892,-206.96964,140.07481,0.0,0.0,0.0,3.54298,0.0,0.0,6.36
1c5s,556.42706,-58.12829,135.94917,-160.11632,58.49945,195.54253,-188.16957,192.21873,-215.63113,117.43267,0.0,0.0,0.0,3.4117258,0.0,0.0,6.0
1c5t,684.09296,-69.56342,232.72311,-179.03285,73.72288,186.6056,-188.2041,210.76973,-227.00243,146.77437,0.0,0.0,0.0,3.2580938,0.0,0.0,4.1
1c5x,495.1386,-66.39651,114.55978,-158.29462,89.03914,236.90823,-193.5735,210.83202,-217.26608,128.65546,0.0,0.0,0.0,3.531423,0.0,0.0,6.68
1c5y,677.5247,-86.62136,229.1343,-181.62057,105.926384,239.34717,-194.7115,247.01578,-235.94986,171.34747,0.0,0.0,0.0,3.384004,0.0,0.0,4.2
1c70,37.251858,-69.017296,158.68288,-156.14372,475.02008,513.811,-287.94095,513.81506,-267.26807,246.95117,0.0,0.0,0.0,6.8006053,0.0,0.0,10.3
1c83,616.13293,-61.676617,171.57455,-156.89961,65.49745,201.8164,-173.46977,180.86061,-206.43747,125.806984,0.0,0.0,0.0,4.398221,0.0,0.0,4.85
1c84,620.41016,-65.8106,183.59523,-158.21658,72.372856,213.31708,-179.6184,198.97957,-218.74539,150.99403,0.0,0.0,0.0,4.354071,0.0,0.0,5.0
1c86,637.8246,-69.736435,215.24545,-158.83185,117.27178,262.2071,-180.10532,271.2298,-227.4113,168.19318,0.0,0.0,0.0,4.19265,0.0,0.0,4.7
1c87,661.49664,-67.9045,230.86433,-162.24718,117.83805,256.27948,-179.20787,259.5964,-236.16187,168.85133,0.0,0.0,0.0,4.059041,0.0,0.0,4.2
1c88,586.64825,-63.991684,176.85127,-150.47687,66.92332,217.11145,-169.63266,190.03432,-205.93521,144.42198,0.0,0.0,0.0,4.2724185,0.0,0.0,5.29
1ceb,610.928,-57.84812,118.70126,-150.3445,3.3243272,145.3404,-180.92014,171.6613,-205.08882,100.36492,0.0,0.0,0.0,3.0024405,0.0,0.0,6.0
1cet,800.3295,-92.99675,319.31714,-174.79527,51.57045,104.908066,-182.5134,197.61617,-233.16869,167.07918,0.0,0.0,0.0,4.6798954,0.0,0.0,2.89
1cgl,353.4935,-53.793797,205.65965,-130.85709,251.67574,371.07944,-206.31123,321.10266,-254.06944,200.08426,0.0,0.0,0.0,5.0137296,0.0,0.0,6.87
1ciz,162.75273,-65.05891,361.1245,-182.81108,519.1682,559.9697,-343.9226,560.59863,-309.4521,305.9219,0.0,0.0,0.0,6.574638,0.0,0.0,7.44
1cnw,169.63004,-58.908283,290.91455,-152.02394,387.15784,576.8653,-295.06226,467.9581,-302.3943,299.68027,0.0,0.0,0.0,5.75128,0.0,0.0,7.72
1cnx,185.58202,-59.058384,314.9382,-154.45317,385.84805,577.20856,-296.82498,467.64114,-303.5287,308.1522,0.0,0.0,0.0,5.821128,0.0,0.0,7.37
1cny,163.92142,-63.171032,264.33267,-152.88608,365.53085,558.682,-279.96606,441.75052,-293.57172,280.36487,0.0,0.0,0.0,6.379472,0.0,0.0,7.85
1cps,461.76093,-59.18111,118.88283,-135.0033,140.68465,279.92316,-187.22699,248.50533,-236.87897,123.723366,0.0,0.0,0.0,4.100251,0.0,0.0,6.66
1ctt,536.7189,-64.81392,318.5678,-152.91586,232.11256,413.06396,-211.79144,350.9221,-259.244,277.53412,0.0,0.0,0.0,4.281564,0.0,0.0,4.52
1ctu,82.82293,-62.150978,20.703835,-130.74074,174.56706,356.60434,-211.83069,327.05563,-237.64496,183.7059,0.0,0.0,0.0,5.1218934,0.0,0.0,11.92
1d09,419.3734,-58.78351,134.01239,-145.32672,144.821,300.49216,-207.50798,279.59976,-248.63948,180.05276,0.0,0.0,0.0,4.300291,0.0,0.0,7.57
1d2e,476.44077,-59.887356,168.89792,-137.15878,170.9815,276.53018,-176.70705,242.54832,-217.87923,167.00883,0.0,0.0,0.0,5.0016437,0.0,0.0,6.0
1d3d,101.89857,-52.899506,292.4839,-154.65608,490.16077,557.4815,-332.62146,575.5238,-294.3646,297.2552,0.0,0.0,0.0,5.7223063,0.0,0.0,9.09
1d3p,236.08017,-66.77944,369.5298,-160.15317,435.85437,532.2364,-327.21246,506.2485,-320.8596,367.94107,0.0,0.0,0.0,5.4214787,0.0,0.0,7.39
1d4i,103.17797,-65.68235,241.4953,-165.24324,501.40472,549.20215,-305.31018,534.13934,-279.75436,277.24252,0.0,0.0,0.0,7.035796,0.0,0.0,8.85
1d4k,96.92524,-60.376904,268.11215,-159.20215,454.85242,578.33246,-319.30533,540.0926,-283.43604,314.04602,0.0,0.0,0.0,7.0537214,0.0,0.0,9.22
1d4p,428.9154,-58.44779,251.84694,-153.70656,267.76123,368.09085,-225.51208,375.4185,-255.77802,221.01517,0.0,0.0,0.0,4.6897125,0.0,0.0,6.3
1d4y,2.6731424,-73.03964,128.06938,-164.01208,451.55862,526.7366,-301.32794,510.9158,-278.7042,255.62285,0.0,0.0,0.0,7.620385,0.0,0.0,11.1
1d6v,304.21817,-76.17242,366.70123,-173.23448,451.75858,549.1113,-320.2055,542.1716,-314.5925,309.1953,0.0,0.0,0.0,5.359954,0.0,0.0,6.17
1d7i,751.4656,-90.20905,281.73343,-180.97139,40.529587,133.23634,-196.15009,210.06334,-239.71199,149.25887,0.0,0.0,0.0,2.8868666,0.0,0.0,3.6
1d7j,758.50354,-93.082275,301.57483,-172.22095,59.870075,152.11963,-195.95319,227.06108,-252.91443,162.41998,0.0,0.0,0.0,2.6850204,0.0,0.0,3.3
1d9i,217.26355,-47.816048,181.48692,-164.4857,367.11423,379.52188,-286.25302,428.5945,-272.2397,229.08679,0.0,0.0,0.0,5.511994,0.0,0.0,9.11
1dar,594.60486,-64.54921,199.5669,-154.7665,96.84641,223.01501,-169.21643,220.76266,-222.22469,134.5046,0.0,0.0,0.0,4.3793516,0.0,0.0,4.96
1det,769.6396,-80.94166,226.82648,-185.45416,37.16361,74.75982,-189.17824,225.07259,-236.25934,116.56043,0.0,0.0,0.0,3.5358162,0.0,0.0,4.3
1df8,174.66779,-55.35535,88.222626,-130.88899,227.18315,348.67746,-208.17609,305.49307,-231.88435,158.64009,0.0,0.0,0.0,4.332839,0.0,0.0,9.7
1dgm,605.0715,-75.82598,300.6135,-173.19794,212.34111,292.84512,-242.88994,373.25314,-292.25024,243.23412,0.0,0.0,0.0,3.2421675,0.0,0.0,5.05
1dhi,328.57315,-58.591763,221.3921,-156.91171,316.28674,399.75504,-261.727,404.55386,-271.62527,214.93277,0.0,0.0,0.0,4.522712,0.0,0.0,7.26
1dif,114.66116,-60.273808,142.23785,-157.088,375.0397,469.6924,-284.18204,467.19754,-262.71124,273.47397,0.0,0.0,0.0,8.26998,0.0,0.0,10.66
1dl7,533.22864,-72.32151,130.17943,-144.45172,51.53188,186.95428,-181.38438,210.06612,-217.80563,115.85301,0.0,0.0,0.0,3.7053187,0.0,0.0,6.49
1dmp,141.80336,-69.79528,148.28743,-152.00856,393.91052,503.07104,-251.6011,451.7388,-250.59413,245.0982,0.0,0.0,0.0,7.0144258,0.0,0.0,9.55
1dqn,340.60275,-68.04139,194.16196,-150.46606,238.06381,347.6889,-241.34665,367.97217,-262.8647,218.64781,0.0,0.0,0.0,4.1280117,0.0,0.0,8.0
1drj,447.33163,-66.50767,71.73555,-142.20088,79.58196,235.47598,-175.93033,200.1127,-198.50763,114.07235,0.0,0.0,0.0,3.4630988,0.0,0.0,7.4
1drk,471.32074,-61.27847,103.761536,-141.00557,86.00833,230.08846,-179.55292,197.78546,-202.52026,120.518166,0.0,0.0,0.0,3.4664397,0.0,0.0,6.82
1drv,428.18314,-58.473125,206.38841,-153.08438,267.32178,371.4724,-214.68964,363.5664,-244.70195,215.69463,0.0,0.0,0.0,4.9802256,0.0,0.0,6.54
1dud,591.69904,-72.14992,256.51575,-161.73192,182.26584,303.60437,-187.11107,330.5507,-237.1952,189.3554,0.0,0.0,0.0,4.2307224,0.0,0.0,4.82
1duv,118.63081,-76.81077,-14.135275,-122.30556,153.97559,310.3703,-195.95543,317.88678,-220.51204,133.47546,0.0,0.0,0.0,5.915942,0.0,0.0,11.8
1dzk,435.8651,-52.889713,210.53014,-142.8156,219.61302,338.64407,-195.90164,304.90204,-239.57858,180.87283,0.0,0.0,0.0,3.2749467,0.0,0.0,6.1
1e2k,480.52054,-58.650875,336.27298,-145.31815,279.54108,411.28333,-235.52339,384.97592,-274.44385,263.6203,0.0,0.0,0.0,4.410674,0.0,0.0,4.94
1e2l,540.09015,-71.258965,335.69852,-151.7004,252.23692,396.85812,-216.98341,359.21683,-268.33075,266.99893,0.0,0.0,0.0,4.396145,0.0,0.0,4.29
1e3g,135.76315,-53.349247,220.41528,-157.7407,384.83322,508.0518,-292.97934,468.1227,-271.53104,256.03705,0.0,0.0,0.0,5.569433,0.0,0.0,9.0
1e3v,554.556,-79.40876,336.15527,-173.02715,326.3064,389.90207,-245.24617,423.86038,-274.75015,256.32892,0.0,0.0,0.0,5.0277762,0.0,0.0,4.34
1e4h,388.57993,-62.448788,6.033502,-130.86052,44.240147,199.29912,-144.23729,164.54327,-189.28946,61.540836,0.0,0.0,0.0,4.6421976,0.0,0.0,8.41
1e6q,663.3606,-74.26139,304.85562,-143.8819,142.15804,290.6534,-188.3446,254.75267,-252.98633,215.83418,0.0,0.0,0.0,3.663734,0.0,0.0,3.15
1e6s,710.8388,-79.4485,288.6872,-151.00362,98.08168,241.97589,-185.44307,237.1204,-244.26624,190.90593,0.0,0.0,0.0,3.6677735,0.0,0.0,3.22
1eb2,422.89862,-70.32172,272.77487,-150.00214,298.82773,373.97064,-228.90744,391.1921,-262.45007,226.43188,0.0,0.0,0.0,5.308523,0.0,0.0,6.01
1ebw,146.78189,-59.96979,179.44688,-149.24355,388.14545,477.68988,-268.5787,439.09613,-258.0142,243.44933,0.0,0.0,0.0,6.286834,0.0,0.0,9.05
1ebz,118.28131,-59.891243,169.84087,-153.38255,407.6473,475.469,-271.49786,449.48737,-257.18982,237.8784,0.0,0.0,0.0,6.4953785,0.0,0.0,9.4
1ec0,105.28752,-66.14183,265.80975,-166.96832,529.83655,584.56464,-314.71387,554.6774,-287.07315,286.5412,0.0,0.0,0.0,7.446685,0.0,0.0,8.49
1ec1,133.36414,-48.506218,204.31947,-145.92009,421.90616,492.40805,-273.19867,461.93762,-255.29826,247.00583,0.0,0.0,0.0,6.6474156,0.0,0.0,8.92
1ec2,94.30291,-51.921474,159.6711,-148.48811,402.03668,476.87622,-273.2975,454.27664,-253.86366,240.59987,0.0,0.0,0.0,6.989459,0.0,0.0,10.0
1ec3,177.6979,-50.77663,190.1186,-148.09679,392.45233,455.60986,-279.35297,448.9054,-257.3269,245.83685,0.0,0.0,0.0,7.00572,0.0,0.0,9.04
1ecq,766.47314,-88.80852,267.73135,-181.7325,72.20804,179.4498,-186.15082,204.11241,-234.73114,157.99237,0.0,0.0,0.0,4.015849,0.0,0.0,3.0
1ecv,696.6659,-67.11331,182.93568,-165.02556,26.36353,159.98251,-184.34868,198.91501,-213.17899,141.06822,0.0,0.0,0.0,4.038979,0.0,0.0,4.85
1efy,273.20413,-52.61861,171.13289,-153.73317,256.20172,375.7457,-230.79517,340.6588,-256.77365,207.71066,0.0,0.0,0.0,4.406953,0.0,0.0,8.22
1egh,615.42255,-71.04449,128.151,-161.59656,57.021748,195.20538,-180.07158,216.43086,-203.23305,129.5674,0.0,0.0,0.0,3.7495573,0.0,0.0,5.7
