name,set,-logKd/Ki,receptor_path
1x8d,refined,2.21,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1x8d/1x8d_pocket.mol2
4g0z,refined,2.21,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4g0z/4g0z_pocket.mol2
1m0n,refined,2.22,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1m0n/1m0n_pocket.mol2
2aac,refined,2.22,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2aac/2aac_pocket.mol2
4aci,refined,2.22,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4aci/4aci_pocket.mol2
4ury,refined,2.22,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ury/4ury_pocket.mol2
1ajp,refined,2.23,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ajp/1ajp_pocket.mol2
3ao5,refined,2.23,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ao5/3ao5_pocket.mol2
3i3b,refined,2.23,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3i3b/3i3b_pocket.mol2
5m9w,refined,2.24,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5m9w/5m9w_pocket.mol2
1ew8,refined,2.26,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ew8/1ew8_pocket.mol2
4np2,refined,2.26,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4np2/4np2_pocket.mol2
1uto,refined,2.27,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1uto/1uto_pocket.mol2
4ahu,refined,2.27,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ahu/4ahu_pocket.mol2
1ps3,refined,2.28,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ps3/1ps3_pocket.mol2
3ip8,refined,2.28,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ip8/3ip8_pocket.mol2
4ddk,refined,2.29,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ddk/4ddk_pocket.mol2
3dyo,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3dyo/3dyo_pocket.mol2
3kgq,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3kgq/3kgq_pocket.mol2
3mhw,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mhw/3mhw_pocket.mol2
3pcg,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3pcg/3pcg_pocket.mol2
3rv4,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3rv4/3rv4_pocket.mol2
4g0y,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4g0y/4g0y_pocket.mol2
4jsz,refined,2.3,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4jsz/4jsz_pocket.mol2
1m0o,refined,2.31,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1m0o/1m0o_pocket.mol2
4y0a,refined,2.31,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4y0a/4y0a_pocket.mol2
5mz8,refined,2.31,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5mz8/5mz8_pocket.mol2
5aol,refined,2.32,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5aol/5aol_pocket.mol2
4iie,refined,2.34,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4iie/4iie_pocket.mol2
3gtc,refined,2.35,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3gtc/3gtc_pocket.mol2
4y3y,refined,2.35,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4y3y/4y3y_pocket.mol2
3g2z,refined,2.36,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3g2z/3g2z_pocket.mol2
5fsc,refined,2.36,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fsc/5fsc_pocket.mol2
3t0d,refined,2.37,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3t0d/3t0d_pocket.mol2
6rnt,refined,2.37,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6rnt/6rnt_pocket.mol2
3f6e,refined,2.38,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3f6e/3f6e_pocket.mol2
6md8,refined,2.38,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6md8/6md8_pocket.mol2
1f73,refined,2.39,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1f73/1f73_pocket.mol2
1nwl,refined,2.39,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1nwl/1nwl_pocket.mol2
4u5s,refined,2.41,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4u5s/4u5s_pocket.mol2
4u5o,refined,2.42,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4u5o/4u5o_pocket.mol2
6mli,refined,2.43,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6mli/6mli_pocket.mol2
1oba,refined,2.44,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1oba/1oba_pocket.mol2
3mjl,refined,2.44,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mjl/3mjl_pocket.mol2
4ddm,refined,2.46,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ddm/4ddm_pocket.mol2
4x8u,refined,2.46,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4x8u/4x8u_pocket.mol2
1utl,refined,2.47,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1utl/1utl_pocket.mol2
4y4j,refined,2.47,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4y4j/4y4j_pocket.mol2
6fhq,refined,2.47,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6fhq/6fhq_pocket.mol2
1gyx,refined,2.48,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1gyx/1gyx_pocket.mol2
4u5n,refined,2.48,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4u5n/4u5n_pocket.mol2
5mn1,refined,2.48,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5mn1/5mn1_pocket.mol2
4efk,refined,2.49,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4efk/4efk_pocket.mol2
4kz7,refined,2.49,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4kz7/4kz7_pocket.mol2
1ai4,refined,2.5,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ai4/1ai4_pocket.mol2
3g30,refined,2.51,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3g30/3g30_pocket.mol2
3gr2,refined,2.52,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3gr2/3gr2_pocket.mol2
3mfv,refined,2.52,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mfv/3mfv_pocket.mol2
3vdb,refined,2.52,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3vdb/3vdb_pocket.mol2
4g0q,refined,2.52,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4g0q/4g0q_pocket.mol2
4urz,refined,2.52,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4urz/4urz_pocket.mol2
4hj2,refined,2.53,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4hj2/4hj2_pocket.mol2
3b3s,refined,2.55,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3b3s/3b3s_pocket.mol2
3ovn,refined,2.55,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ovn/3ovn_pocket.mol2
1gwv,refined,2.57,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1gwv/1gwv_pocket.mol2
3kgp,refined,2.57,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3kgp/3kgp_pocket.mol2
3gvb,refined,2.59,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3gvb/3gvb_pocket.mol2
4o3c,refined,2.59,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4o3c/4o3c_pocket.mol2
2r5a,refined,2.6,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2r5a/2r5a_pocket.mol2
4up5,refined,2.6,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4up5/4up5_pocket.mol2
5g46,refined,2.6,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5g46/5g46_pocket.mol2
3f37,refined,2.62,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3f37/3f37_pocket.mol2
5lvd,refined,2.62,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5lvd/5lvd_pocket.mol2
1ajn,refined,2.63,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ajn/1ajn_pocket.mol2
4i8x,refined,2.64,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4i8x/4i8x_pocket.mol2
4q7w,refined,2.64,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4q7w/4q7w_pocket.mol2
4q8y,refined,2.64,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4q8y/4q8y_pocket.mol2
4ufl,refined,2.64,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ufl/4ufl_pocket.mol2
6fhu,refined,2.64,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6fhu/6fhu_pocket.mol2
5ey0,refined,2.65,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5ey0/5ey0_pocket.mol2
3a1e,refined,2.66,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3a1e/3a1e_pocket.mol2
3lvw,refined,2.67,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3lvw/3lvw_pocket.mol2
4b3c,refined,2.68,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4b3c/4b3c_pocket.mol2
4b3d,refined,2.68,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4b3d/4b3d_pocket.mol2
3elc,refined,2.69,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3elc/3elc_pocket.mol2
2fzc,refined,2.7,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2fzc/2fzc_pocket.mol2
2uyn,refined,2.7,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2uyn/2uyn_pocket.mol2
3bra,refined,2.7,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3bra/3bra_pocket.mol2
6nmb,refined,2.7,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6nmb/6nmb_pocket.mol2
1pfu,refined,2.72,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1pfu/1pfu_pocket.mol2
2rkd,refined,2.72,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2rkd/2rkd_pocket.mol2
5fsx,refined,2.72,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fsx/5fsx_pocket.mol2
2qwb,refined,2.74,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2qwb/2qwb_pocket.mol2
2vyt,refined,2.74,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2vyt/2vyt_pocket.mol2
4m6u,refined,2.74,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4m6u/4m6u_pocket.mol2
4ndu,refined,2.74,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ndu/4ndu_pocket.mol2
5os2,refined,2.74,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5os2/5os2_pocket.mol2
1rql,refined,2.75,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1rql/1rql_pocket.mol2
4bt5,refined,2.76,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4bt5/4bt5_pocket.mol2
5er4,refined,2.76,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5er4/5er4_pocket.mol2
2bet,refined,2.77,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2bet/2bet_pocket.mol2
3fcq,refined,2.77,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3fcq/3fcq_pocket.mol2
4kz3,refined,2.77,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4kz3/4kz3_pocket.mol2
4ykk,refined,2.77,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ykk/4ykk_pocket.mol2
6g24,refined,2.77,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6g24/6g24_pocket.mol2
5os4,refined,2.78,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5os4/5os4_pocket.mol2
2bza,refined,2.8,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2bza/2bza_pocket.mol2
5fbi,refined,2.8,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fbi/5fbi_pocket.mol2
5fov,refined,2.8,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fov/5fov_pocket.mol2
3djx,refined,2.81,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3djx/3djx_pocket.mol2
4rrg,refined,2.81,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4rrg/4rrg_pocket.mol2
3lka,refined,2.82,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3lka/3lka_pocket.mol2
3ppr,refined,2.82,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ppr/3ppr_pocket.mol2
4dsu,refined,2.82,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4dsu/4dsu_pocket.mol2
4k7i,refined,2.82,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4k7i/4k7i_pocket.mol2
6mj7,refined,2.82,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6mj7/6mj7_pocket.mol2
3zt2,refined,2.84,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3zt2/3zt2_pocket.mol2
3udh,refined,2.85,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3udh/3udh_pocket.mol2
5th4,refined,2.85,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5th4/5th4_pocket.mol2
3zt3,refined,2.86,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3zt3/3zt3_pocket.mol2
1cet,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1cet/1cet_pocket.mol2
1iih,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1iih/1iih_pocket.mol2
3g31,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3g31/3g31_pocket.mol2
4b35,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4b35/4b35_pocket.mol2
4gqq,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4gqq/4gqq_pocket.mol2
4llx,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4llx/4llx_pocket.mol2
5flt,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5flt/5flt_pocket.mol2
5ngz,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5ngz/5ngz_pocket.mol2
5orv,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5orv/5orv_pocket.mol2
6b7b,refined,2.89,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6b7b/6b7b_pocket.mol2
3c2u,refined,2.9,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3c2u/3c2u_pocket.mol2
1h2k,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1h2k/1h2k_pocket.mol2
2fw6,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2fw6/2fw6_pocket.mol2
3alt,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3alt/3alt_pocket.mol2
3k8c,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3k8c/3k8c_pocket.mol2
4ai5,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ai5/4ai5_pocket.mol2
4ef6,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ef6/4ef6_pocket.mol2
4lm3,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4lm3/4lm3_pocket.mol2
4y2q,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4y2q/4y2q_pocket.mol2
5ct2,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5ct2/5ct2_pocket.mol2
6fv4,refined,2.92,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6fv4/6fv4_pocket.mol2
1tng,refined,2.93,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1tng/1tng_pocket.mol2
4zv2,refined,2.93,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4zv2/4zv2_pocket.mol2
2vmc,refined,2.94,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2vmc/2vmc_pocket.mol2
1f4e,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1f4e/1f4e_pocket.mol2
2w8j,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2w8j/2w8j_pocket.mol2
3g34,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3g34/3g34_pocket.mol2
3imc,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3imc/3imc_pocket.mol2
4dst,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4dst/4dst_pocket.mol2
4mrg,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4mrg/4mrg_pocket.mol2
4owm,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4owm/4owm_pocket.mol2
5fng,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fng/5fng_pocket.mol2
6r9x,refined,2.96,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6r9x/6r9x_pocket.mol2
4ceb,refined,2.97,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ceb/4ceb_pocket.mol2
5flq,refined,2.97,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5flq/5flq_pocket.mol2
3ckb,refined,2.98,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ckb/3ckb_pocket.mol2
3djq,refined,2.98,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3djq/3djq_pocket.mol2
4ibc,refined,2.98,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ibc/4ibc_pocket.mol2
5aba,refined,2.98,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5aba/5aba_pocket.mol2
4bps,refined,2.99,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4bps/4bps_pocket.mol2
1ecq,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ecq/1ecq_pocket.mol2
1ws4,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ws4/1ws4_pocket.mol2
2q8h,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2q8h/2q8h_pocket.mol2
2rka,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2rka/2rka_pocket.mol2
2v3u,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2v3u/2v3u_pocket.mol2
3ime,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ime/3ime_pocket.mol2
4b2i,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4b2i/4b2i_pocket.mol2
4k0o,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4k0o/4k0o_pocket.mol2
4l51,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4l51/4l51_pocket.mol2
4llk,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4llk/4llk_pocket.mol2
4r3w,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4r3w/4r3w_pocket.mol2
4u0w,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4u0w/4u0w_pocket.mol2
5ehw,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5ehw/5ehw_pocket.mol2
6ftz,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6ftz/6ftz_pocket.mol2
6quv,refined,3.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6quv/6quv_pocket.mol2
1utm,refined,3.01,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1utm/1utm_pocket.mol2
4g0p,refined,3.01,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4g0p/4g0p_pocket.mol2
2vmd,refined,3.02,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2vmd/2vmd_pocket.mol2
4q81,refined,3.02,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4q81/4q81_pocket.mol2
1ogd,refined,3.03,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ogd/1ogd_pocket.mol2
2ha3,refined,3.03,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2ha3/2ha3_pocket.mol2
4lm2,refined,3.03,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4lm2/4lm2_pocket.mol2
4qp2,refined,3.03,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4qp2/4qp2_pocket.mol2
5aoi,refined,3.03,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5aoi/5aoi_pocket.mol2
1rtf,refined,3.04,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1rtf/1rtf_pocket.mol2
3t08,refined,3.04,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3t08/3t08_pocket.mol2
3t1m,refined,3.04,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3t1m/3t1m_pocket.mol2
4i7k,refined,3.04,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4i7k/4i7k_pocket.mol2
4lm4,refined,3.04,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4lm4/4lm4_pocket.mol2
5fls,refined,3.04,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fls/5fls_pocket.mol2
1f74,refined,3.05,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1f74/1f74_pocket.mol2
1uj5,refined,3.05,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1uj5/1uj5_pocket.mol2
4g5f,refined,3.05,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4g5f/4g5f_pocket.mol2
6ncn,refined,3.05,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6ncn/6ncn_pocket.mol2
1rnm,refined,3.07,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1rnm/1rnm_pocket.mol2
3mof,refined,3.07,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mof/3mof_pocket.mol2
