Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
16	:	1752711360.382	     3.739	0	2496	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1z6e/1z6e_pocket.pdb
18	:	1752711365.385	     5.042	0	2450	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3zt2/3zt2_pocket.pdb
17	:	1752711362.882	     8.123	0	6810	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5qay/5qay_pocket.pdb
19	:	1752711367.893	     4.858	0	2543	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6htg/6htg_pocket.pdb
20	:	1752711370.404	     3.960	0	2375	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1h0a/1h0a_pocket.pdb
21	:	1752711372.904	     3.690	0	2630	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4m8x/4m8x_pocket.pdb
22	:	1752711375.404	     4.082	0	2583	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4hzm/4hzm_pocket.pdb
23	:	1752711377.906	     4.554	0	2525	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5z99/5z99_pocket.pdb
24	:	1752711380.407	     4.738	0	2564	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2i80/2i80_pocket.pdb
25	:	1752711382.907	     4.635	0	2597	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2d1n/2d1n_pocket.pdb
26	:	1752711385.409	     4.558	0	2255	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6poi/6poi_pocket.pdb
27	:	1752711387.910	     4.658	0	2542	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ipn/4ipn_pocket.pdb
28	:	1752711390.415	     4.452	0	2799	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4wkn/4wkn_pocket.pdb
29	:	1752711392.916	     5.468	0	2515	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1w0z/1w0z_pocket.pdb
30	:	1752711395.428	     5.041	0	2729	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4oak/4oak_pocket.pdb
31	:	1752711397.938	     3.947	0	2526	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mfv/3mfv_pocket.pdb
