Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
29	:	1752711805.327	     6.256	0	2631	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1w0z/1w0z_pocket.pdb
30	:	1752711807.832	     7.161	0	2845	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4oak/4oak_pocket.pdb
31	:	1752711810.334	     8.194	0	2642	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mfv/3mfv_pocket.pdb
32	:	1752711812.840	     9.939	0	2588	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6nv9/6nv9_pocket.pdb
33	:	1752711815.348	    10.151	0	2689	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4efs/4efs_pocket.pdb
34	:	1752711817.863	    10.373	0	2589	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2xc4/2xc4_pocket.pdb
35	:	1752711820.411	    10.546	0	2741	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2vc9/2vc9_pocket.pdb
36	:	1752711822.919	    11.274	0	3090	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6p89/6p89_pocket.pdb
37	:	1752711825.507	    13.786	0	2766	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2e92/2e92_pocket.pdb
38	:	1752711828.253	    13.920	0	2602	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2v25/2v25_pocket.pdb
39	:	1752711830.964	    13.529	0	2616	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4jym/4jym_pocket.pdb
40	:	1752711834.215	    12.791	0	2772	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2zwz/2zwz_pocket.pdb
41	:	1752711839.322	    12.177	0	2668	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1c1r/1c1r_pocket.pdb
43	:	1752711844.695	    12.708	0	2559	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3r4p/3r4p_pocket.pdb
42	:	1752711842.189	    16.076	0	2564	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2csn/2csn_pocket.pdb
44	:	1752711847.213	    11.931	0	2852	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1koj/1koj_pocket.pdb
45	:	1752711851.533	    11.937	0	2549	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2ra6/2ra6_pocket.pdb
46	:	1752711857.427	     8.576	0	2632	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ufj/4ufj_pocket.pdb
47	:	1752711859.933	     8.962	0	2510	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2pbw/2pbw_pocket.pdb
48	:	1752711862.449	     8.151	0	2634	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2zda/2zda_pocket.pdb
49	:	1752711864.953	     8.063	0	2588	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6jam/6jam_pocket.pdb
50	:	1752711867.456	     6.812	0	2805	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4gah/4gah_pocket.pdb
51	:	1752711869.962	     7.037	0	2560	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6olx/6olx_pocket.pdb
52	:	1752711872.471	     6.226	0	2399	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3b24/3b24_pocket.pdb
53	:	1752711874.974	     6.355	0	2726	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2avo/2avo_pocket.pdb
54	:	1752711877.476	     6.840	0	2439	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3tay/3tay_pocket.pdb
55	:	1752711879.978	     6.970	0	2381	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5xpi/5xpi_pocket.pdb
56	:	1752711882.492	     6.551	0	2712	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2cer/2cer_pocket.pdb
57	:	1752711884.993	     5.868	0	2611	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5exw/5exw_pocket.pdb
58	:	1752711887.501	     4.910	0	2696	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1iy7/1iy7_pocket.pdb
59	:	1752711890.003	     5.105	0	2884	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3hzm/3hzm_pocket.pdb
60	:	1752711892.506	     5.984	0	2405	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5mwh/5mwh_pocket.pdb
61	:	1752711895.010	     6.371	0	2612	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2y80/2y80_pocket.pdb
62	:	1752711897.512	     5.662	0	2669	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1e3g/1e3g_pocket.pdb
63	:	1752711900.017	     4.898	0	3071	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2nsj/2nsj_pocket.pdb
64	:	1752711902.520	     3.976	0	2402	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2i3i/2i3i_pocket.pdb
65	:	1752711905.020	     4.000	0	2900	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1i9n/1i9n_pocket.pdb
66	:	1752711907.522	     3.759	0	2613	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3rdo/3rdo_pocket.pdb
67	:	1752711910.031	     3.800	0	2693	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3l4z/3l4z_pocket.pdb
68	:	1752711912.532	     3.950	0	2657	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2pwd/2pwd_pocket.pdb
69	:	1752711915.033	     3.733	0	2665	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3tvc/3tvc_pocket.pdb
70	:	1752711917.535	     3.485	0	2429	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4j46/4j46_pocket.pdb
71	:	1752711920.036	     3.641	0	2460	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5h5f/5h5f_pocket.pdb
72	:	1752711922.538	     3.921	0	2704	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3a1e/3a1e_pocket.pdb
73	:	1752711925.040	     3.437	0	2745	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3wzn/3wzn_pocket.pdb
74	:	1752711927.541	     3.384	0	2476	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4erf/4erf_pocket.pdb
75	:	1752711930.042	     3.358	0	2549	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5am7/5am7_pocket.pdb
76	:	1752711932.543	     3.388	0	2444	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4yc0/4yc0_pocket.pdb
77	:	1752711935.044	     3.784	0	2598	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1laf/1laf_pocket.pdb
78	:	1752711937.546	     3.803	0	2381	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5g46/5g46_pocket.pdb
79	:	1752711940.048	     4.949	0	2768	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6b7b/6b7b_pocket.pdb
80	:	1752711942.551	     4.598	0	2422	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1onz/1onz_pocket.pdb
81	:	1752711945.051	     4.134	0	2497	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6d15/6d15_pocket.pdb
82	:	1752711947.554	     3.913	0	2477	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6h8s/6h8s_pocket.pdb
83	:	1752711950.054	     3.894	0	2718	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5gj9/5gj9_pocket.pdb
84	:	1752711952.556	     3.973	0	2469	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4n6z/4n6z_pocket.pdb
85	:	1752711955.057	     3.726	0	2735	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1y0l/1y0l_pocket.pdb
86	:	1752711957.558	     4.879	0	2495	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1sv3/1sv3_pocket.pdb
87	:	1752711960.061	     5.942	0	2690	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3lp4/3lp4_pocket.pdb
88	:	1752711962.562	     5.240	0	2494	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5t19/5t19_pocket.pdb
89	:	1752711965.065	     4.507	0	2478	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5lsh/5lsh_pocket.pdb
90	:	1752711967.567	     4.285	0	2916	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6e7r/6e7r_pocket.pdb
91	:	1752711970.068	     4.440	0	2582	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5u11/5u11_pocket.pdb
92	:	1752711972.569	     4.232	0	2628	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3b3s/3b3s_pocket.pdb
93	:	1752711975.070	     4.478	0	3066	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2hzy/2hzy_pocket.pdb
94	:	1752711977.570	     4.512	0	2525	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5jy3/5jy3_pocket.pdb
95	:	1752711980.071	     4.217	0	2659	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3dgo/3dgo_pocket.pdb
96	:	1752711982.572	     3.945	0	2538	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3dne/3dne_pocket.pdb
97	:	1752711985.072	     4.621	0	2788	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2j27/2j27_pocket.pdb
98	:	1752711987.574	     5.004	0	2638	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mhw/3mhw_pocket.pdb
99	:	1752711990.076	     4.420	0	2439	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5wbm/5wbm_pocket.pdb
100	:	1752711992.578	     4.984	0	2579	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1syh/1syh_pocket.pdb
101	:	1752711995.079	     5.907	0	2573	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2xj7/2xj7_pocket.pdb
102	:	1752711997.582	     5.344	0	2707	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5sz4/5sz4_pocket.pdb
103	:	1752712000.093	     4.476	0	2453	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5vd2/5vd2_pocket.pdb
104	:	1752712002.595	     4.214	0	2741	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3k5x/3k5x_pocket.pdb
105	:	1752712005.098	     4.062	0	2704	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2wos/2wos_pocket.pdb
106	:	1752712007.601	     3.889	0	2691	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3kv2/3kv2_pocket.pdb
107	:	1752712010.102	     4.084	0	2562	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4cwp/4cwp_pocket.pdb
108	:	1752712012.602	     4.614	0	2977	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6q3q/6q3q_pocket.pdb
109	:	1752712015.104	     4.270	0	2632	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3vvy/3vvy_pocket.pdb
110	:	1752712017.610	     4.854	0	2842	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6qr3/6qr3_pocket.pdb
111	:	1752712020.113	     5.013	0	2503	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5g2g/5g2g_pocket.pdb
112	:	1752712022.614	     5.675	0	2669	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5vsj/5vsj_pocket.pdb
113	:	1752712025.116	     6.009	0	2511	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4gih/4gih_pocket.pdb
114	:	1752712027.621	     6.060	0	2612	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1k21/1k21_pocket.pdb
115	:	1752712030.124	     6.516	0	2529	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3zxz/3zxz_pocket.pdb
116	:	1752712032.626	     5.913	0	2744	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5j8z/5j8z_pocket.pdb
117	:	1752712035.129	     4.490	0	2881	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4pv5/4pv5_pocket.pdb
118	:	1752712037.631	     4.095	0	2586	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1nfy/1nfy_pocket.pdb
119	:	1752712040.131	     3.619	0	2492	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1b8n/1b8n_pocket.pdb
120	:	1752712042.632	     3.615	0	2719	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2qci/2qci_pocket.pdb
121	:	1752712045.133	     3.946	0	2477	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6hd6/6hd6_pocket.pdb
122	:	1752712047.634	     5.221	0	2548	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6pl1/6pl1_pocket.pdb
123	:	1752712050.150	     4.498	0	2612	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6jb4/6jb4_pocket.pdb
124	:	1752712052.653	     3.995	0	2659	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5ljq/5ljq_pocket.pdb
125	:	1752712055.153	     4.200	0	2528	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1hlk/1hlk_pocket.pdb
126	:	1752712057.653	     4.882	0	2721	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3wtj/3wtj_pocket.pdb
127	:	1752712060.160	     4.605	0	2611	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2y5h/2y5h_pocket.pdb
128	:	1752712062.660	     3.738	0	2718	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4b7j/4b7j_pocket.pdb
129	:	1752712065.160	     3.799	0	2702	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3mhi/3mhi_pocket.pdb
130	:	1752712067.661	     4.250	0	2721	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5b5g/5b5g_pocket.pdb
131	:	1752712070.162	     4.598	0	2692	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3uyr/3uyr_pocket.pdb
132	:	1752712072.663	     3.850	0	2735	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4baq/4baq_pocket.pdb
133	:	1752712075.164	     3.924	0	2730	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3i9g/3i9g_pocket.pdb
134	:	1752712077.668	     3.878	0	2742	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1b6l/1b6l_pocket.pdb
135	:	1752712080.170	     3.509	0	2510	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4zvi/4zvi_pocket.pdb
136	:	1752712082.674	     3.690	0	2746	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5upj/5upj_pocket.pdb
137	:	1752712085.176	     3.947	0	2603	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3b7i/3b7i_pocket.pdb
138	:	1752712087.677	     3.941	0	2536	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5er1/5er1_pocket.pdb
139	:	1752712090.179	     4.000	0	3423	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4deu/4deu_pocket.pdb
140	:	1752712092.683	     3.669	0	2679	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ao4/3ao4_pocket.pdb
141	:	1752712095.184	     4.105	0	2525	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3qgy/3qgy_pocket.pdb
142	:	1752712097.690	     3.866	0	2659	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1gj6/1gj6_pocket.pdb
143	:	1752712100.191	     3.717	0	2698	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1bwb/1bwb_pocket.pdb
144	:	1752712102.693	     3.619	0	2703	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ydd/1ydd_pocket.pdb
145	:	1752712105.194	     3.617	0	2609	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1ele/1ele_pocket.pdb
146	:	1752712107.695	     3.657	0	2640	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3l59/3l59_pocket.pdb
147	:	1752712110.196	     3.832	0	2405	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6g38/6g38_pocket.pdb
148	:	1752712112.697	     3.662	0	2567	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6czc/6czc_pocket.pdb
149	:	1752712115.198	     3.888	0	2466	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5d24/5d24_pocket.pdb
150	:	1752712117.700	     4.032	0	2343	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5vm0/5vm0_pocket.pdb
151	:	1752712120.206	     3.955	0	2840	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3cj5/3cj5_pocket.pdb
152	:	1752712122.711	     3.838	0	2729	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ta1/3ta1_pocket.pdb
