name,partition,set,error
3rv4,docking,pdbbind,3rv4 does not contain any pose data
3rv4,crystal,pdbbind,no ligand for 3rv4 (pdbbind set)
4g0y,docking,pdbbind,4g0y does not contain any pose data
4g0y,crystal,pdbbind,no ligand for 4g0y (pdbbind set)
4jsz,docking,pdbbind,4jsz does not contain any pose data
4jsz,crystal,pdbbind,no ligand for 4jsz (pdbbind set)
1m0o,docking,pdbbind,1m0o does not contain any pose data
1m0o,crystal,pdbbind,no ligand for 1m0o (pdbbind set)
4y0a,docking,pdbbind,4y0a does not contain any pose data
4y0a,crystal,pdbbind,no ligand for 4y0a (pdbbind set)
5mz8,docking,pdbbind,5mz8 does not contain any pose data
5mz8,crystal,pdbbind,no ligand for 5mz8 (pdbbind set)
5aol,docking,pdbbind,5aol does not contain any pose data
5aol,crystal,pdbbind,no ligand for 5aol (pdbbind set)
4iie,docking,pdbbind,4iie does not contain any pose data
4iie,crystal,pdbbind,no ligand for 4iie (pdbbind set)
3gtc,docking,pdbbind,3gtc does not contain any pose data
3gtc,crystal,pdbbind,no ligand for 3gtc (pdbbind set)
4y3y,docking,pdbbind,4y3y does not contain any pose data
4y3y,crystal,pdbbind,no ligand for 4y3y (pdbbind set)
3g2z,docking,pdbbind,3g2z does not contain any pose data
3g2z,crystal,pdbbind,no ligand for 3g2z (pdbbind set)
5fsc,docking,pdbbind,5fsc does not contain any pose data
5fsc,crystal,pdbbind,no ligand for 5fsc (pdbbind set)
3t0d,docking,pdbbind,3t0d does not contain any pose data
3t0d,crystal,pdbbind,no ligand for 3t0d (pdbbind set)
6rnt,docking,pdbbind,6rnt does not contain any pose data
6rnt,crystal,pdbbind,no ligand for 6rnt (pdbbind set)
3f6e,docking,pdbbind,3f6e does not contain any pose data
3f6e,crystal,pdbbind,no ligand for 3f6e (pdbbind set)
6md8,docking,pdbbind,6md8 does not contain any pose data
6md8,crystal,pdbbind,no ligand for 6md8 (pdbbind set)
1f73,docking,pdbbind,1f73 does not contain any pose data
1f73,crystal,pdbbind,no ligand for 1f73 (pdbbind set)
1nwl,docking,pdbbind,1nwl does not contain any pose data
1nwl,crystal,pdbbind,no ligand for 1nwl (pdbbind set)
4u5s,docking,pdbbind,4u5s does not contain any pose data
4u5s,crystal,pdbbind,no ligand for 4u5s (pdbbind set)
4u5o,docking,pdbbind,4u5o does not contain any pose data
4u5o,crystal,pdbbind,no ligand for 4u5o (pdbbind set)
6mli,docking,pdbbind,6mli does not contain any pose data
6mli,crystal,pdbbind,no ligand for 6mli (pdbbind set)
1oba,docking,pdbbind,1oba does not contain any pose data
1oba,crystal,pdbbind,no ligand for 1oba (pdbbind set)
3mjl,docking,pdbbind,3mjl does not contain any pose data
3mjl,crystal,pdbbind,no ligand for 3mjl (pdbbind set)
4ddm,docking,pdbbind,4ddm does not contain any pose data
4ddm,crystal,pdbbind,no ligand for 4ddm (pdbbind set)
4x8u,docking,pdbbind,4x8u does not contain any pose data
4x8u,crystal,pdbbind,no ligand for 4x8u (pdbbind set)
1utl,docking,pdbbind,1utl does not contain any pose data
1utl,crystal,pdbbind,no ligand for 1utl (pdbbind set)
4y4j,docking,pdbbind,4y4j does not contain any pose data
4y4j,crystal,pdbbind,no ligand for 4y4j (pdbbind set)
6fhq,docking,pdbbind,6fhq does not contain any pose data
6fhq,crystal,pdbbind,no ligand for 6fhq (pdbbind set)
1gyx,docking,pdbbind,1gyx does not contain any pose data
1gyx,crystal,pdbbind,no ligand for 1gyx (pdbbind set)
4u5n,docking,pdbbind,4u5n does not contain any pose data
4u5n,crystal,pdbbind,no ligand for 4u5n (pdbbind set)
5mn1,docking,pdbbind,5mn1 does not contain any pose data
5mn1,crystal,pdbbind,no ligand for 5mn1 (pdbbind set)
4efk,docking,pdbbind,4efk does not contain any pose data
4efk,crystal,pdbbind,no ligand for 4efk (pdbbind set)
4kz7,docking,pdbbind,4kz7 does not contain any pose data
4kz7,crystal,pdbbind,no ligand for 4kz7 (pdbbind set)
1ai4,docking,pdbbind,1ai4 does not contain any pose data
1ai4,crystal,pdbbind,no ligand for 1ai4 (pdbbind set)
3g30,docking,pdbbind,3g30 does not contain any pose data
3g30,crystal,pdbbind,no ligand for 3g30 (pdbbind set)
3gr2,docking,pdbbind,3gr2 does not contain any pose data
3gr2,crystal,pdbbind,no ligand for 3gr2 (pdbbind set)
3mfv,docking,pdbbind,3mfv does not contain any pose data
3mfv,crystal,pdbbind,no ligand for 3mfv (pdbbind set)
3vdb,docking,pdbbind,3vdb does not contain any pose data
3vdb,crystal,pdbbind,no ligand for 3vdb (pdbbind set)
4g0q,docking,pdbbind,4g0q does not contain any pose data
4g0q,crystal,pdbbind,no ligand for 4g0q (pdbbind set)
4urz,docking,pdbbind,4urz does not contain any pose data
4urz,crystal,pdbbind,no ligand for 4urz (pdbbind set)
4hj2,docking,pdbbind,4hj2 does not contain any pose data
4hj2,crystal,pdbbind,no ligand for 4hj2 (pdbbind set)
3b3s,docking,pdbbind,3b3s does not contain any pose data
3b3s,crystal,pdbbind,no ligand for 3b3s (pdbbind set)
3ovn,docking,pdbbind,3ovn does not contain any pose data
3ovn,crystal,pdbbind,no ligand for 3ovn (pdbbind set)
1gwv,docking,pdbbind,1gwv does not contain any pose data
1gwv,crystal,pdbbind,no ligand for 1gwv (pdbbind set)
3kgp,docking,pdbbind,3kgp does not contain any pose data
3kgp,crystal,pdbbind,no ligand for 3kgp (pdbbind set)
3gvb,docking,pdbbind,3gvb does not contain any pose data
3gvb,crystal,pdbbind,no ligand for 3gvb (pdbbind set)
4o3c,docking,pdbbind,4o3c does not contain any pose data
4o3c,crystal,pdbbind,no ligand for 4o3c (pdbbind set)
2r5a,docking,pdbbind,2r5a does not contain any pose data
2r5a,crystal,pdbbind,no ligand for 2r5a (pdbbind set)
4up5,docking,pdbbind,4up5 does not contain any pose data
4up5,crystal,pdbbind,no ligand for 4up5 (pdbbind set)
5g46,docking,pdbbind,5g46 does not contain any pose data
5g46,crystal,pdbbind,no ligand for 5g46 (pdbbind set)
3f37,docking,pdbbind,3f37 does not contain any pose data
3f37,crystal,pdbbind,no ligand for 3f37 (pdbbind set)
5lvd,docking,pdbbind,5lvd does not contain any pose data
5lvd,crystal,pdbbind,no ligand for 5lvd (pdbbind set)
1ajn,docking,pdbbind,1ajn does not contain any pose data
1ajn,crystal,pdbbind,no ligand for 1ajn (pdbbind set)
4i8x,docking,pdbbind,4i8x does not contain any pose data
4i8x,crystal,pdbbind,no ligand for 4i8x (pdbbind set)
4q7w,docking,pdbbind,4q7w does not contain any pose data
4q7w,crystal,pdbbind,no ligand for 4q7w (pdbbind set)
4q8y,docking,pdbbind,4q8y does not contain any pose data
4q8y,crystal,pdbbind,no ligand for 4q8y (pdbbind set)
4ufl,docking,pdbbind,4ufl does not contain any pose data
4ufl,crystal,pdbbind,no ligand for 4ufl (pdbbind set)
6fhu,docking,pdbbind,6fhu does not contain any pose data
6fhu,crystal,pdbbind,no ligand for 6fhu (pdbbind set)
5ey0,docking,pdbbind,5ey0 does not contain any pose data
5ey0,crystal,pdbbind,no ligand for 5ey0 (pdbbind set)
3a1e,docking,pdbbind,3a1e does not contain any pose data
3a1e,crystal,pdbbind,no ligand for 3a1e (pdbbind set)
3lvw,docking,pdbbind,3lvw does not contain any pose data
3lvw,crystal,pdbbind,no ligand for 3lvw (pdbbind set)
4b3c,docking,pdbbind,4b3c does not contain any pose data
4b3c,crystal,pdbbind,no ligand for 4b3c (pdbbind set)
4b3d,docking,pdbbind,4b3d does not contain any pose data
4b3d,crystal,pdbbind,no ligand for 4b3d (pdbbind set)
3elc,docking,pdbbind,3elc does not contain any pose data
3elc,crystal,pdbbind,no ligand for 3elc (pdbbind set)
2fzc,docking,pdbbind,2fzc does not contain any pose data
2fzc,crystal,pdbbind,no ligand for 2fzc (pdbbind set)
2uyn,docking,pdbbind,2uyn does not contain any pose data
2uyn,crystal,pdbbind,no ligand for 2uyn (pdbbind set)
3bra,docking,pdbbind,3bra does not contain any pose data
3bra,crystal,pdbbind,no ligand for 3bra (pdbbind set)
6nmb,docking,pdbbind,6nmb does not contain any pose data
6nmb,crystal,pdbbind,no ligand for 6nmb (pdbbind set)
1pfu,docking,pdbbind,1pfu does not contain any pose data
1pfu,crystal,pdbbind,no ligand for 1pfu (pdbbind set)
2rkd,docking,pdbbind,2rkd does not contain any pose data
2rkd,crystal,pdbbind,no ligand for 2rkd (pdbbind set)
5fsx,docking,pdbbind,5fsx does not contain any pose data
5fsx,crystal,pdbbind,no ligand for 5fsx (pdbbind set)
2qwb,docking,pdbbind,2qwb does not contain any pose data
2qwb,crystal,pdbbind,no ligand for 2qwb (pdbbind set)
2vyt,docking,pdbbind,2vyt does not contain any pose data
2vyt,crystal,pdbbind,no ligand for 2vyt (pdbbind set)
4m6u,docking,pdbbind,4m6u does not contain any pose data
4m6u,crystal,pdbbind,no ligand for 4m6u (pdbbind set)
4ndu,docking,pdbbind,4ndu does not contain any pose data
4ndu,crystal,pdbbind,no ligand for 4ndu (pdbbind set)
5os2,docking,pdbbind,5os2 does not contain any pose data
5os2,crystal,pdbbind,no ligand for 5os2 (pdbbind set)
1rql,docking,pdbbind,1rql does not contain any pose data
1rql,crystal,pdbbind,no ligand for 1rql (pdbbind set)
4bt5,docking,pdbbind,4bt5 does not contain any pose data
4bt5,crystal,pdbbind,no ligand for 4bt5 (pdbbind set)
5er4,docking,pdbbind,5er4 does not contain any pose data
5er4,crystal,pdbbind,no ligand for 5er4 (pdbbind set)
2bet,docking,pdbbind,2bet does not contain any pose data
2bet,crystal,pdbbind,no ligand for 2bet (pdbbind set)
3fcq,docking,pdbbind,3fcq does not contain any pose data
3fcq,crystal,pdbbind,no ligand for 3fcq (pdbbind set)
4kz3,docking,pdbbind,4kz3 does not contain any pose data
4kz3,crystal,pdbbind,no ligand for 4kz3 (pdbbind set)
4ykk,docking,pdbbind,4ykk does not contain any pose data
4ykk,crystal,pdbbind,no ligand for 4ykk (pdbbind set)
6g24,docking,pdbbind,6g24 does not contain any pose data
6g24,crystal,pdbbind,no ligand for 6g24 (pdbbind set)
5os4,docking,pdbbind,5os4 does not contain any pose data
5os4,crystal,pdbbind,no ligand for 5os4 (pdbbind set)
2bza,docking,pdbbind,2bza does not contain any pose data
2bza,crystal,pdbbind,no ligand for 2bza (pdbbind set)
5fbi,docking,pdbbind,5fbi does not contain any pose data
5fbi,crystal,pdbbind,no ligand for 5fbi (pdbbind set)
5fov,docking,pdbbind,5fov does not contain any pose data
5fov,crystal,pdbbind,no ligand for 5fov (pdbbind set)
3djx,docking,pdbbind,3djx does not contain any pose data
3djx,crystal,pdbbind,no ligand for 3djx (pdbbind set)
4rrg,docking,pdbbind,4rrg does not contain any pose data
4rrg,crystal,pdbbind,no ligand for 4rrg (pdbbind set)
3lka,docking,pdbbind,3lka does not contain any pose data
3lka,crystal,pdbbind,no ligand for 3lka (pdbbind set)
3ppr,docking,pdbbind,3ppr does not contain any pose data
3ppr,crystal,pdbbind,no ligand for 3ppr (pdbbind set)
4dsu,docking,pdbbind,4dsu does not contain any pose data
4dsu,crystal,pdbbind,no ligand for 4dsu (pdbbind set)
4k7i,docking,pdbbind,4k7i does not contain any pose data
4k7i,crystal,pdbbind,no ligand for 4k7i (pdbbind set)
6mj7,docking,pdbbind,6mj7 does not contain any pose data
6mj7,crystal,pdbbind,no ligand for 6mj7 (pdbbind set)
3zt2,docking,pdbbind,3zt2 does not contain any pose data
3zt2,crystal,pdbbind,no ligand for 3zt2 (pdbbind set)
3udh,docking,pdbbind,3udh does not contain any pose data
3udh,crystal,pdbbind,no ligand for 3udh (pdbbind set)
5th4,docking,pdbbind,5th4 does not contain any pose data
5th4,crystal,pdbbind,no ligand for 5th4 (pdbbind set)
3zt3,docking,pdbbind,3zt3 does not contain any pose data
3zt3,crystal,pdbbind,no ligand for 3zt3 (pdbbind set)
1cet,docking,pdbbind,1cet does not contain any pose data
1cet,crystal,pdbbind,no ligand for 1cet (pdbbind set)
1iih,docking,pdbbind,1iih does not contain any pose data
1iih,crystal,pdbbind,no ligand for 1iih (pdbbind set)
3g31,docking,pdbbind,3g31 does not contain any pose data
3g31,crystal,pdbbind,no ligand for 3g31 (pdbbind set)
4b35,docking,pdbbind,4b35 does not contain any pose data
4b35,crystal,pdbbind,no ligand for 4b35 (pdbbind set)
4gqq,docking,pdbbind,4gqq does not contain any pose data
4gqq,crystal,pdbbind,no ligand for 4gqq (pdbbind set)
4llx,docking,pdbbind,4llx does not contain any pose data
4llx,crystal,pdbbind,no ligand for 4llx (pdbbind set)
5flt,docking,pdbbind,5flt does not contain any pose data
5flt,crystal,pdbbind,no ligand for 5flt (pdbbind set)
5ngz,docking,pdbbind,5ngz does not contain any pose data
5ngz,crystal,pdbbind,no ligand for 5ngz (pdbbind set)
5orv,docking,pdbbind,5orv does not contain any pose data
5orv,crystal,pdbbind,no ligand for 5orv (pdbbind set)
6b7b,docking,pdbbind,6b7b does not contain any pose data
6b7b,crystal,pdbbind,no ligand for 6b7b (pdbbind set)
3c2u,docking,pdbbind,3c2u does not contain any pose data
3c2u,crystal,pdbbind,no ligand for 3c2u (pdbbind set)
1h2k,docking,pdbbind,1h2k does not contain any pose data
1h2k,crystal,pdbbind,no ligand for 1h2k (pdbbind set)
2fw6,docking,pdbbind,2fw6 does not contain any pose data
2fw6,crystal,pdbbind,no ligand for 2fw6 (pdbbind set)
3alt,docking,pdbbind,3alt does not contain any pose data
3alt,crystal,pdbbind,no ligand for 3alt (pdbbind set)
3k8c,docking,pdbbind,3k8c does not contain any pose data
3k8c,crystal,pdbbind,no ligand for 3k8c (pdbbind set)
4ai5,docking,pdbbind,4ai5 does not contain any pose data
4ai5,crystal,pdbbind,no ligand for 4ai5 (pdbbind set)
4ef6,docking,pdbbind,4ef6 does not contain any pose data
4ef6,crystal,pdbbind,no ligand for 4ef6 (pdbbind set)
4lm3,docking,pdbbind,4lm3 does not contain any pose data
4lm3,crystal,pdbbind,no ligand for 4lm3 (pdbbind set)
4y2q,docking,pdbbind,4y2q does not contain any pose data
4y2q,crystal,pdbbind,no ligand for 4y2q (pdbbind set)
5ct2,docking,pdbbind,5ct2 does not contain any pose data
5ct2,crystal,pdbbind,no ligand for 5ct2 (pdbbind set)
6fv4,docking,pdbbind,6fv4 does not contain any pose data
6fv4,crystal,pdbbind,no ligand for 6fv4 (pdbbind set)
1tng,docking,pdbbind,1tng does not contain any pose data
1tng,crystal,pdbbind,no ligand for 1tng (pdbbind set)
4zv2,docking,pdbbind,4zv2 does not contain any pose data
4zv2,crystal,pdbbind,no ligand for 4zv2 (pdbbind set)
2vmc,docking,pdbbind,2vmc does not contain any pose data
2vmc,crystal,pdbbind,no ligand for 2vmc (pdbbind set)
1f4e,docking,pdbbind,1f4e does not contain any pose data
1f4e,crystal,pdbbind,no ligand for 1f4e (pdbbind set)
2w8j,docking,pdbbind,2w8j does not contain any pose data
2w8j,crystal,pdbbind,no ligand for 2w8j (pdbbind set)
3g34,docking,pdbbind,3g34 does not contain any pose data
3g34,crystal,pdbbind,no ligand for 3g34 (pdbbind set)
3imc,docking,pdbbind,3imc does not contain any pose data
3imc,crystal,pdbbind,no ligand for 3imc (pdbbind set)
4dst,docking,pdbbind,4dst does not contain any pose data
4dst,crystal,pdbbind,no ligand for 4dst (pdbbind set)
4mrg,docking,pdbbind,4mrg does not contain any pose data
4mrg,crystal,pdbbind,no ligand for 4mrg (pdbbind set)
4owm,docking,pdbbind,4owm does not contain any pose data
4owm,crystal,pdbbind,no ligand for 4owm (pdbbind set)
5fng,docking,pdbbind,5fng does not contain any pose data
5fng,crystal,pdbbind,no ligand for 5fng (pdbbind set)
6r9x,docking,pdbbind,6r9x does not contain any pose data
6r9x,crystal,pdbbind,no ligand for 6r9x (pdbbind set)
4ceb,docking,pdbbind,4ceb does not contain any pose data
4ceb,crystal,pdbbind,no ligand for 4ceb (pdbbind set)
5flq,docking,pdbbind,5flq does not contain any pose data
5flq,crystal,pdbbind,no ligand for 5flq (pdbbind set)
3ckb,docking,pdbbind,3ckb does not contain any pose data
3ckb,crystal,pdbbind,no ligand for 3ckb (pdbbind set)
3djq,docking,pdbbind,3djq does not contain any pose data
3djq,crystal,pdbbind,no ligand for 3djq (pdbbind set)
4ibc,docking,pdbbind,4ibc does not contain any pose data
4ibc,crystal,pdbbind,no ligand for 4ibc (pdbbind set)
5aba,docking,pdbbind,5aba does not contain any pose data
5aba,crystal,pdbbind,no ligand for 5aba (pdbbind set)
4bps,docking,pdbbind,4bps does not contain any pose data
4bps,crystal,pdbbind,no ligand for 4bps (pdbbind set)
1ecq,docking,pdbbind,1ecq does not contain any pose data
1ecq,crystal,pdbbind,no ligand for 1ecq (pdbbind set)
1ws4,docking,pdbbind,1ws4 does not contain any pose data
1ws4,crystal,pdbbind,no ligand for 1ws4 (pdbbind set)
2q8h,docking,pdbbind,2q8h does not contain any pose data
2q8h,crystal,pdbbind,no ligand for 2q8h (pdbbind set)
2rka,docking,pdbbind,2rka does not contain any pose data
2rka,crystal,pdbbind,no ligand for 2rka (pdbbind set)
2v3u,docking,pdbbind,2v3u does not contain any pose data
2v3u,crystal,pdbbind,no ligand for 2v3u (pdbbind set)
3ime,docking,pdbbind,3ime does not contain any pose data
3ime,crystal,pdbbind,no ligand for 3ime (pdbbind set)
4b2i,docking,pdbbind,4b2i does not contain any pose data
4b2i,crystal,pdbbind,no ligand for 4b2i (pdbbind set)
4k0o,docking,pdbbind,4k0o does not contain any pose data
4k0o,crystal,pdbbind,no ligand for 4k0o (pdbbind set)
4l51,docking,pdbbind,4l51 does not contain any pose data
4l51,crystal,pdbbind,no ligand for 4l51 (pdbbind set)
4llk,docking,pdbbind,4llk does not contain any pose data
4llk,crystal,pdbbind,no ligand for 4llk (pdbbind set)
4r3w,docking,pdbbind,4r3w does not contain any pose data
4r3w,crystal,pdbbind,no ligand for 4r3w (pdbbind set)
4u0w,docking,pdbbind,4u0w does not contain any pose data
4u0w,crystal,pdbbind,no ligand for 4u0w (pdbbind set)
5ehw,docking,pdbbind,5ehw does not contain any pose data
5ehw,crystal,pdbbind,no ligand for 5ehw (pdbbind set)
6ftz,docking,pdbbind,6ftz does not contain any pose data
6ftz,crystal,pdbbind,no ligand for 6ftz (pdbbind set)
6quv,docking,pdbbind,6quv does not contain any pose data
6quv,crystal,pdbbind,no ligand for 6quv (pdbbind set)
1utm,docking,pdbbind,1utm does not contain any pose data
1utm,crystal,pdbbind,no ligand for 1utm (pdbbind set)
4g0p,docking,pdbbind,4g0p does not contain any pose data
4g0p,crystal,pdbbind,no ligand for 4g0p (pdbbind set)
2vmd,docking,pdbbind,2vmd does not contain any pose data
2vmd,crystal,pdbbind,no ligand for 2vmd (pdbbind set)
4q81,docking,pdbbind,4q81 does not contain any pose data
4q81,crystal,pdbbind,no ligand for 4q81 (pdbbind set)
1ogd,docking,pdbbind,1ogd does not contain any pose data
1ogd,crystal,pdbbind,no ligand for 1ogd (pdbbind set)
2ha3,docking,pdbbind,2ha3 does not contain any pose data
2ha3,crystal,pdbbind,no ligand for 2ha3 (pdbbind set)
4lm2,docking,pdbbind,4lm2 does not contain any pose data
4lm2,crystal,pdbbind,no ligand for 4lm2 (pdbbind set)
4qp2,docking,pdbbind,4qp2 does not contain any pose data
4qp2,crystal,pdbbind,no ligand for 4qp2 (pdbbind set)
5aoi,docking,pdbbind,5aoi does not contain any pose data
5aoi,crystal,pdbbind,no ligand for 5aoi (pdbbind set)
1rtf,docking,pdbbind,1rtf does not contain any pose data
1rtf,crystal,pdbbind,no ligand for 1rtf (pdbbind set)
3t08,docking,pdbbind,3t08 does not contain any pose data
3t08,crystal,pdbbind,no ligand for 3t08 (pdbbind set)
3t1m,docking,pdbbind,3t1m does not contain any pose data
3t1m,crystal,pdbbind,no ligand for 3t1m (pdbbind set)
4i7k,docking,pdbbind,4i7k does not contain any pose data
4i7k,crystal,pdbbind,no ligand for 4i7k (pdbbind set)
4lm4,docking,pdbbind,4lm4 does not contain any pose data
4lm4,crystal,pdbbind,no ligand for 4lm4 (pdbbind set)
5fls,docking,pdbbind,5fls does not contain any pose data
5fls,crystal,pdbbind,no ligand for 5fls (pdbbind set)
1f74,docking,pdbbind,1f74 does not contain any pose data
1f74,crystal,pdbbind,no ligand for 1f74 (pdbbind set)
1uj5,docking,pdbbind,1uj5 does not contain any pose data
1uj5,crystal,pdbbind,no ligand for 1uj5 (pdbbind set)
4g5f,docking,pdbbind,4g5f does not contain any pose data
4g5f,crystal,pdbbind,no ligand for 4g5f (pdbbind set)
6ncn,docking,pdbbind,6ncn does not contain any pose data
6ncn,crystal,pdbbind,no ligand for 6ncn (pdbbind set)
1rnm,docking,pdbbind,1rnm does not contain any pose data
1rnm,crystal,pdbbind,no ligand for 1rnm (pdbbind set)
3mof,docking,pdbbind,3mof does not contain any pose data
3mof,crystal,pdbbind,no ligand for 3mof (pdbbind set)
6fh3,docking,pdbbind,6fh3 does not contain any pose data
6fh3,crystal,pdbbind,no ligand for 6fh3 (pdbbind set)
1y1z,docking,pdbbind,1y1z does not contain any pose data
1y1z,crystal,pdbbind,no ligand for 1y1z (pdbbind set)
5ehv,docking,pdbbind,5ehv does not contain any pose data
5ehv,crystal,pdbbind,no ligand for 5ehv (pdbbind set)
1ec9,docking,pdbbind,1ec9 does not contain any pose data
1ec9,crystal,pdbbind,no ligand for 1ec9 (pdbbind set)
2xdl,docking,pdbbind,2xdl does not contain any pose data
2xdl,crystal,pdbbind,no ligand for 2xdl (pdbbind set)
3buf,docking,pdbbind,3buf does not contain any pose data
3buf,crystal,pdbbind,no ligand for 3buf (pdbbind set)
3f78,docking,pdbbind,3f78 does not contain any pose data
3f78,crystal,pdbbind,no ligand for 3f78 (pdbbind set)
4cjr,docking,pdbbind,4cjr does not contain any pose data
4cjr,crystal,pdbbind,no ligand for 4cjr (pdbbind set)
4kz6,docking,pdbbind,4kz6 does not contain any pose data
4kz6,crystal,pdbbind,no ligand for 4kz6 (pdbbind set)
5eh8,docking,pdbbind,5eh8 does not contain any pose data
5eh8,crystal,pdbbind,no ligand for 5eh8 (pdbbind set)
5orw,docking,pdbbind,5orw does not contain any pose data
